docId,title,summary,content,source,url,category,priority,accessibilityTarget,supportTarget,selectionCriteria,applicationMethod,contact,department,updatedAt,sourceType,detailStatus,importantFields
BOKJIRO-WLF00001084,여성긴급전화 1366센터 운영 지원,"가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다.","제목: 여성긴급전화 1366센터 운영 지원
요약: 가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다.
선정기준: 지원대상의 내용을 참고해 주시기 바랍니다.
신청방법: 1366 가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다.
문의처: 1366
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001084&wlfareInfoReldBztpCd=01,복지서비스,URGENT,ALL,,지원대상의 내용을 참고해 주시기 바랍니다.,"1366 가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다.",1366,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": ""지원대상의 내용을 참고해 주시기 바랍니다."", ""applyMethod"": ""1366 가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다."", ""applicationMethod"": ""1366 가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다."", ""contact"": ""1366"", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00000888,영구임대주택공급,"생계·의료급여 수급자, 국가유공자, 일본군 위안부 피해자 등 사회보호계층에게 영구임대주택을 공급하여 주거안정을 도모합니다.","제목: 영구임대주택공급
요약: 생계·의료급여 수급자, 국가유공자, 일본군 위안부 피해자 등 사회보호계층에게 영구임대주택을 공급하여 주거안정을 도모합니다.
지원대상: 장애인, 다문화·탈북민, 보훈대상자, 한부모·조손, 저소득
선정기준: 무주택자로서 아래에 해당하는 사람을 대상으로 공급합니다. * 지자체 기준에 따라 모집 기준 상이 「국민기초생활 보장법」상의 생계급여수급자 또는 의료급여수급자 유공자 또는 그 유족(참전유공자 유족 제외) 등으로서 수급자 선정기준의 소득인정액 이하이고 영구임대 자산요건을 충족하는 자 일본군위안부 피해자 지원대상 한부모가족 북한이탈주민으로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 자 장애인등록증이 교부된 자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 65세이상 직계존속 부양자로서 수급자 선정기준의 소득인정액 이하인 자(피부양자의 배우자도 무주택자이어야 함) 「아동복지법」에 따라 아동복지시설에서 퇴소하는 자로서 아동복지시설의 장이 추천하는 자로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 65세 이상인 사람으로서 「국민기초생활 보장법」 제2조제1호에 따른 수급권자 또는 같은 조 제10호에 따른 차상위계층에 해당하는 사람 전년도 도시근로자 가구당 월평균소득 50%이하인 자로서 영구임대 자산요건을 충족 하는자 국토교통부장관 또는 시도지사가 영구임대주택의 입주가 필요하다고 인정하는 자 장애인등록증이 교부된자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 100%이하이고, 영구임대 자산요건을 충족하는 자
문의처: 1600-1004
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000888&wlfareInfoReldBztpCd=01,의료/건강,MEDIUM,DISABLED_GENERAL,"장애인, 다문화·탈북민, 보훈대상자, 한부모·조손, 저소득","무주택자로서 아래에 해당하는 사람을 대상으로 공급합니다. * 지자체 기준에 따라 모집 기준 상이 「국민기초생활 보장법」상의 생계급여수급자 또는 의료급여수급자 유공자 또는 그 유족(참전유공자 유족 제외) 등으로서 수급자 선정기준의 소득인정액 이하이고 영구임대 자산요건을 충족하는 자 일본군위안부 피해자 지원대상 한부모가족 북한이탈주민으로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 자 장애인등록증이 교부된 자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 65세이상 직계존속 부양자로서 수급자 선정기준의 소득인정액 이하인 자(피부양자의 배우자도 무주택자이어야 함) 「아동복지법」에 따라 아동복지시설에서 퇴소하는 자로서 아동복지시설의 장이 추천하는 자로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 65세 이상인 사람으로서 「국민기초생활 보장법」 제2조제1호에 따른 수급권자 또는 같은 조 제10호에 따른 차상위계층에 해당하는 사람 전년도 도시근로자 가구당 월평균소득 50%이하인 자로서 영구임대 자산요건을 충족 하는자 국토교통부장관 또는 시도지사가 영구임대주택의 입주가 필요하다고 인정하는 자 장애인등록증이 교부된자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 100%이하이고, 영구임대 자산요건을 충족하는 자",,1600-1004,,,PUBLIC_API,,"{""supportTarget"": ""장애인, 다문화·탈북민, 보훈대상자, 한부모·조손, 저소득"", ""eligibility"": ""장애인, 다문화·탈북민, 보훈대상자, 한부모·조손, 저소득"", ""selectionCriteria"": ""무주택자로서 아래에 해당하는 사람을 대상으로 공급합니다. * 지자체 기준에 따라 모집 기준 상이 「국민기초생활 보장법」상의 생계급여수급자 또는 의료급여수급자 유공자 또는 그 유족(참전유공자 유족 제외) 등으로서 수급자 선정기준의 소득인정액 이하이고 영구임대 자산요건을 충족하는 자 일본군위안부 피해자 지원대상 한부모가족 북한이탈주민으로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 자 장애인등록증이 교부된 자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 65세이상 직계존속 부양자로서 수급자 선정기준의 소득인정액 이하인 자(피부양자의 배우자도 무주택자이어야 함) 「아동복지법」에 따라 아동복지시설에서 퇴소하는 자로서 아동복지시설의 장이 추천하는 자로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 65세 이상인 사람으로서 「국민기초생활 보장법」 제2조제1호에 따른 수급권자 또는 같은 조 제10호에 따른 차상위계층에 해당하는 사람 전년도 도시근로자 가구당 월평균소득 50%이하인 자로서 영구임대 자산요건을 충족 하는자 국토교통부장관 또는 시도지사가 영구임대주택의 입주가 필요하다고 인정하는 자 장애인등록증이 교부된자(지적장애인ㆍ정신장애인 및 장애의 정도가 심한 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 100%이하이고, 영구임대 자산요건을 충족하는 자"", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": ""1600-1004"", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00000057,공공분양,저소득층의 주거안정 및 무주택자의 내 집 마련 기회를 제공합니다.,"제목: 공공분양
요약: 저소득층의 주거안정 및 무주택자의 내 집 마련 기회를 제공합니다.
선정기준: 공급유형별로 다음의 소득기준을 충족하여야 합니다. (일반공급) - (전용면적 60㎡ 이하) 공공분양 및 분양전환공공임대주택 : 전년도 도시근로자 가구당 월평균소득 100% 이하 - (그 외 주택) 소득기준 없음※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) - (생애최초 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 ※ 70%를 월평균 소득 100% 이하에 우선 공급 - (신혼부부 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 (다만, 맞벌이부부는 140%) ※ 70%를 월평균 소득 100% (맞벌이의 경우 120%) 이하에 우선 공급 - (노부모부양 특별공급) 전년도 도시근로자가구 평균소득 120% 이하 - (다자녀 특별공급) 전년도 도시근로자가구 평균소득 120% 이하- (그 외 공급유형) 소득기준 없음 공급유형별로 다음의 자산기준을 충족하여야 합니다. (일반공급) 분양전환공공임대주택 및 전용면적 60㎡ 이하 공공분양에 아래 자산기준을 적용 - (자산(토지 및 건축물)) 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - (자동차) 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) 신혼부부, 생애최초, 노부모부양, 다자녀가구 특별공급에 아래 자산기준을 적용 - 자산(토지 및 건축물) : 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - 자동차 : 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (그 외 공급유형) 자산기준 없음
문의처: 1600-1004
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000057&wlfareInfoReldBztpCd=01,의료/건강,MEDIUM,ALL,,"공급유형별로 다음의 소득기준을 충족하여야 합니다. (일반공급) - (전용면적 60㎡ 이하) 공공분양 및 분양전환공공임대주택 : 전년도 도시근로자 가구당 월평균소득 100% 이하 - (그 외 주택) 소득기준 없음※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) - (생애최초 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 ※ 70%를 월평균 소득 100% 이하에 우선 공급 - (신혼부부 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 (다만, 맞벌이부부는 140%) ※ 70%를 월평균 소득 100% (맞벌이의 경우 120%) 이하에 우선 공급 - (노부모부양 특별공급) 전년도 도시근로자가구 평균소득 120% 이하 - (다자녀 특별공급) 전년도 도시근로자가구 평균소득 120% 이하- (그 외 공급유형) 소득기준 없음 공급유형별로 다음의 자산기준을 충족하여야 합니다. (일반공급) 분양전환공공임대주택 및 전용면적 60㎡ 이하 공공분양에 아래 자산기준을 적용 - (자산(토지 및 건축물)) 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - (자동차) 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) 신혼부부, 생애최초, 노부모부양, 다자녀가구 특별공급에 아래 자산기준을 적용 - 자산(토지 및 건축물) : 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - 자동차 : 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (그 외 공급유형) 자산기준 없음",,1600-1004,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": ""공급유형별로 다음의 소득기준을 충족하여야 합니다. (일반공급) - (전용면적 60㎡ 이하) 공공분양 및 분양전환공공임대주택 : 전년도 도시근로자 가구당 월평균소득 100% 이하 - (그 외 주택) 소득기준 없음※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) - (생애최초 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 ※ 70%를 월평균 소득 100% 이하에 우선 공급 - (신혼부부 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 (다만, 맞벌이부부는 140%) ※ 70%를 월평균 소득 100% (맞벌이의 경우 120%) 이하에 우선 공급 - (노부모부양 특별공급) 전년도 도시근로자가구 평균소득 120% 이하 - (다자녀 특별공급) 전년도 도시근로자가구 평균소득 120% 이하- (그 외 공급유형) 소득기준 없음 공급유형별로 다음의 자산기준을 충족하여야 합니다. (일반공급) 분양전환공공임대주택 및 전용면적 60㎡ 이하 공공분양에 아래 자산기준을 적용 - (자산(토지 및 건축물)) 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - (자동차) 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) 신혼부부, 생애최초, 노부모부양, 다자녀가구 특별공급에 아래 자산기준을 적용 - 자산(토지 및 건축물) : 국민건강보험 보험료 산정방법에서 정한 재산등급 25등급에 해당하는 재산금액의 상한과 하한을 산술평균한 금액 이하 - 자동차 : 4,200만원에 전년도 운송장비 소비자물가지수를 곱하여 산정한 금액 이하※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (그 외 공급유형) 자산기준 없음"", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": ""1600-1004"", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001079,주거안정 월세대출 보증,자력은 부족하지만 장래 소득발생이 예상되고 자활의지가 있는 저소득 계층의 주거안정을 위해 월세대출을 보증합니다.,"제목: 주거안정 월세대출 보증
요약: 자력은 부족하지만 장래 소득발생이 예상되고 자활의지가 있는 저소득 계층의 주거안정을 위해 월세대출을 보증합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001079&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00000026,장애인자립자금대여,저소득 장애인의 소규모 창업 및 출퇴근용 자동차 구입 비용을 장기 저리로 대여하여 생업의 기반을 다지고 편리하게 이동할 수 있도록 지원합니다.,"제목: 장애인자립자금대여
요약: 저소득 장애인의 소규모 창업 및 출퇴근용 자동차 구입 비용을 장기 저리로 대여하여 생업의 기반을 다지고 편리하게 이동할 수 있도록 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000026&wlfareInfoReldBztpCd=01,이동/교통,MEDIUM,DISABLED_GENERAL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001098,온가족보듬사업,"취약가족 및 긴급·위기가족이 가족 기능을 회복하고 정서적, 경제적 자립역량을 강화할 수 있도록 합니다.","제목: 온가족보듬사업
요약: 취약가족 및 긴급·위기가족이 가족 기능을 회복하고 정서적, 경제적 자립역량을 강화할 수 있도록 합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001098&wlfareInfoReldBztpCd=01,복지서비스,URGENT,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00000751,청소년복지시설 운영 지원,"가정 밖 청소년을 보호하고 상담, 교육문화활동 지원을 통해 비행, 탈선을 예방하여 가정복귀와 사회적응을 돕습니다.","제목: 청소년복지시설 운영 지원
요약: 가정 밖 청소년을 보호하고 상담, 교육문화활동 지원을 통해 비행, 탈선을 예방하여 가정복귀와 사회적응을 돕습니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000751&wlfareInfoReldBztpCd=01,교육/고용,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00000077,원폭피해자지원,"2차대전 당시 재일 한국인 원폭피해자에게 진료비, 진료보조비, 장제비 및 합천원폭피해자복지회관 입주지원 등을 통해 복지증진을 도모합니다.","제목: 원폭피해자지원
요약: 2차대전 당시 재일 한국인 원폭피해자에게 진료비, 진료보조비, 장제비 및 합천원폭피해자복지회관 입주지원 등을 통해 복지증진을 도모합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000077&wlfareInfoReldBztpCd=01,의료/건강,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00000049,에너지 취약계층 고효율조명기기 무상교체 지원(취약계층 에너지복지사업),에너지 취약계층인 저소득층 및 복지시설에 고효율 조명기기(LED) 무상교체로 전기요금을 줄이고 전력수요 절감에 기여합니다.,"제목: 에너지 취약계층 고효율조명기기 무상교체 지원(취약계층 에너지복지사업)
요약: 에너지 취약계층인 저소득층 및 복지시설에 고효율 조명기기(LED) 무상교체로 전기요금을 줄이고 전력수요 절감에 기여합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000049&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00000072,에너지바우처,에너지취약계층에게 에너지바우처를 지급하여 전기·가스·지역난방·등유·LPG 등 필요 에너지의 이용 비용을 지원합니다.,"제목: 에너지바우처
요약: 에너지취약계층에게 에너지바우처를 지급하여 전기·가스·지역난방·등유·LPG 등 필요 에너지의 이용 비용을 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000072&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
