docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup
,"실망실업, 장애인노동자 노동시장 밖으로 밀어내는 보이지 않는 장벽","【에이블뉴스 김경식 칼럼니스트】 취업을 포기한 사람은 실업자가 아닐까. 경제학은 그렇지 않다고 말한다. 구직활동을 하지 않으면 실업자가 아니라 비경제활동인구로 분류된다. 그러나 현실은 통계보다 훨씬 복잡하다. 일하고 싶은 의지와 능력이 있음에도 반복적인 실패와 좌절 끝에 더 이상 구직을 시도하지 않게 된 사람들이 있다. 경제학은 이를 실망실업(Discouraged Unemployment)이라고 부른다.실망실업은 단순히 일자리를 찾지 못한 상태가 아니다. 그것은 사회가 특정 집단에게 지속적으로 ""당신은 필요하지 않다""는 메시지를 보내",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231401,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,취업/교육,LOW,TRUE,RSS,58,NOT_RECOMMENDED,
,"장애인권리보장법 공포, 이제는 장애학생 권리 학교에서 실현할 때","【에이블뉴스 조주희 칼럼니스트】2026년 5월 26일 장애인권리보장법이 공포되었다. 2007년 장애인권리보장법 제정 논의가 시작된 이후 약 19년 만의 결실이다. 그동안 우리 사회는 장애인을 보호와 복지의 대상으로 바라보는 관점에서 벗어나 권리의 주체로 인정하기 위한 노력을 지속해 왔다. 장애인차별금지 및 권리구제 등에 관한 법률, 장애인 건강권 및 의료접근성 보장에 관한 법률, 장애인 등에 대한 특수교육법 등이 제정되면서 장애인의 권리 보장을 위한 제도적 기반은 꾸준히 확대되어 왔다. 이번 장애인권리보장법의 공포는 이러한 변화의",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231310,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,권리/차별,MEDIUM,TRUE,RSS,70,NOT_RECOMMENDED,RIGHTS_SUPPORT
,장애물 없는 ‘고양시 일산동구보건소’ 장애인 편의 점검,"【에이블뉴스 박종태 객원기자】 경기도 고양시 일산동구보건소가 지난 9일 한국녹색기후기술원으로부터 ‘장애물 없는 생활환경(Barrier Free)’ 본인증 우수등급을 받았다.일산동구보건소는 연면적 16,125㎡, 지하2층-지상4층 규모로 건립됐다. 층별로 ▲지상 1층: 고양시중독관리지원센터, 건강누리실, 감염병관리팀, 접수실, 재활운동실, 내과진료실, 방사선실, 임상병리실, 결핵실 ▲2층: 일산동구치매안심센터, 모자보건팀아기쉼터, 구강보건실, 방문보건팀, 금연클리닉, 건강채움실, 시청각실 ▲3층: 고양시다시봄센터(자살예방), 사무실(",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231431,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,의료/건강,MEDIUM,TRUE,RSS,76,INFO_CARD,
,"베르사유건축상 받은 세븐아일랜드, 장애인에게는 그림의 떡","【에이블뉴스 이복남 객원기자】 작년 여름부터 시내버스에 광고판이 붙어 있었다. ‘부산 최초 베르사유 건축상 수상’ 언젠가 한 번 가보려고 생각했지만 차일피일 미루다 시간이 지나갔다. 그러다 얼마 전 지하철을 탔는데 무심코 쳐다본 광고판이 ‘부산 최초 베르사유 건축상 수상’이었다.필자는 토요일마다 파크골프 공을 치러 가므로 우리 회원 몇 명에게 일요일에 세븐아일랜드에 가보자고 했다. 스쿠터를 사용하는 장애인이 가보고 싶다고 했지만, 가다가 점심을 먹어야 하므로 두리발(부산장애인콜택시)을 이용하기가 마땅찮아서 파크골프 사강빼수님에게 차",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231424,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,일반뉴스,LOW,TRUE,RSS,47,NEWS_REFERENCE,
,“자세유지기구는 중증장애인 생존권” 서울시립 자세유지기구센터 지정 호소,【에이블뉴스 이슬기 기자】서울특별시의회 교통위원회 소속 문성호 의원(국민의힘)이 지난 11일 제336회 정례회 제1차 본회의에서 임기 마지막 5분 자유발언을 통해 창동차량기지 부지에 조성될 ‘서울디지털 바이오시티(S-DBC)’ 내에 ‘서울시립 자세유지기구센터’를 건립할 것을 오세훈 서울시장에게 강력히 촉구했다.문 의원은 “지체·뇌병변 중증장애인들에게 개별 체형에 맞는 자세유지기구는 단순한 보조도구가 아닌 생존권 그 자체”라며 발언을 시작했다.문 의원은 “현재 서울시에는 이를 지원할 공공거점이 전무해 수백만 원에 달하는 가격 부담과,에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231429,2026-06-12,2026,2026-06-14T02:17:32+09:00,PHYSICAL_IMPAIRED,이동/교통,LOW,TRUE,RSS,89,INFO_CARD,
,"SRK미래정책연구소·트리오컴퍼니, 장애인체육회에 육각형 3면 탁구대 기증","【에이블뉴스 백민 기자】 SRK미래정책연구소(대표 박상진, 부대표 최정훈)와 ㈜트리오컴퍼니(대표 김길수)는 12일 대한장애인체육회(회장 정진완) 이천선수촌에 육각형 3면 탁구대를 기증했다.이날 기증식에는 SRK미래정책연구소와 문화체육관광부, 국회 문화체육관광위원회 관계자, 대한장애인체육회 및 이천선수촌 관계자들이 참석했다.육각형 3면 탁구대는 세 명 또는 세 팀이 동시에 참여할 수 있도록 제작된 형태의 탁구대로, 기존 탁구와는 다른 방식의 참여와 활동이 가능하며 참여자 간 소통과 협력을 유도하는 것이 특징이다.이천선수촌은 기증받은",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231430,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,일반뉴스,LOW,TRUE,RSS,43,RESEARCH_REFERENCE,
,"부산장애인일자리통합지원센터·메인직업학교, 장애인 취업지원 맞손",【에이블뉴스 이슬기 기자】부산광역시장애인일자리통합지원센터(이하 센터)가 12일 부산메인직업학교와 장애인 직업교육 및 취업지원 활성화를 위한 업무협약을 체결했다.이번 협약은 장애인의 직업교육 기회를 확대하고 지역사회 내 다양한 일자리 발굴 및 취업 지원 체계를 강화하기 위해 마련됐다.협약에 따라 양 기관은 ▲부산지역 장애인 일자리 발굴 및 맞춤형 지원 ▲장애인 직업교육 및 직종개발 확대 ▲구직활동 지원 ▲인적·물적 자원 공유 ▲장애인 고용 활성화를 위한 협력 네트워크 구축 등에 적극 협력하기로 했다.센터는 이번 협약을 계기로 장애인의,에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231428,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,취업/교육,MEDIUM,TRUE,RSS,74,INFO_CARD,
,‘제35회 장애인고용 콘텐츠 공모전’ 20점 작품 수상작 선정,"【에이블뉴스 이슬기 기자】한국장애인고용공단이 12일 공단 본부 대회의실에서 제35회 장애인고용 콘텐츠 공모전 시상식을 개최했다.공단은 올해로 35년째 장애인고용에 대한 공감대를 형성하고 인식을 개선하기 위해 장애인고용 콘텐츠 공모전을 실시하고 있다. 이번 공모전은 포스터디자인과 영상(숏폼), 스토리텔링(에세이) 3개 분야로 나누어 접수를 받았다.이번 공모전에는 3개의 부문에서 총 470점의 작품이 접수됐으며, 이 중 총 20점의 작품이 수상작으로 선정됐다. 각 분야 최우수상 수상자에게는 고용노동부 장관상과 상금 200만 원이 수여됐",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231427,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,지원사업/모집,HIGH,TRUE,RSS,90,IMPORTANT_ALERT,
,"경기도장애인부모회, 6개기관과 경기도내 장애아동 돌봄 공백 최소화 맞손","【에이블뉴스 이슬기 기자】한국장애인부모회 경기도지회(이하 경기도장애인부모회)가 아동·청소년 발달센터, 가족상담센터 등 지역사회 기관과 업무협약을 체결했다고 12일 밝혔다.업무협약을 체결한 기관은 ▲그리심아동가족상담센터 ▲나론세아동발달센터 ▲러스크병원 부설 꾸러기발달센터 ▲이루다운동발달센터 ▲지혜아동청소년발달센터 ▲참사랑아동발달상담센터 일산덕양센터 등 6곳이다.장애아가족 양육지원사업은 보건복지부와 경기도의 지원을 통해 장애아동 가족의 양육부담 경감과 보호자의 사회활동 지원을 위한 돌봄서비스 및 휴식지원서비스를 제공하는 '장애아가족 양",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231426,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,지원사업/모집,HIGH,TRUE,RSS,94,GUARDIAN_SHARE,
,"‘장애인 근로지원인서비스 20년, 제도개선 방향 모색 토론회’ 19일 개최","【에이블뉴스 이슬기 기자】국민의힘 김예지 의원이 주최하고 한국근로지원인수행기관협회 주관하는 ‘장애인 근로지원인서비스 20년 발자취와 제도개선 방향 모색 토론회’가 오는 19일 오후 1시 서울 영등포구 국회도서관 소강당에서 개최된다.이날 토론회에는 현장 실무자와 장애인 근로지원인서비스 이용자, 근로지원인 등 관계자 100여 명이 참석해 제도 운영 현황과 개선 과제에 대해 논의할 예정이다.장애인 근로지원인서비스는 중증장애인의 안정적인 경제활동과 노동 참여를 지원하기 위해 2011년 도입된 제도로, 장애인의 직업유지와 사회참여 확대에 중",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231425,2026-06-12,2026,2026-06-14T02:17:32+09:00,ALL,일반뉴스,LOW,TRUE,RSS,51,POLICY_REFERENCE,
