docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup,exclusionReason
,"빛소리친구들, 민간 협력 일자리 사업 ‘아트 워크 커넥트’ 인턴십 돌입","【에이블뉴스 백민 기자】 빛소리친구들(대표 최영묵)은 서울특별시 민간단체 협력형 매력일자리 사업인 ‘아트 워크 커넥트(Art-Work Connect)’의 사전 직무교육과 수료식, 기관 매칭데이를 성공적으로 마무리하고, 지난 10일부터 장애 예술인 인턴십 운영에 돌입했다.‘아트 워크 커넥트’는 장애 예술인의 예술 활동 경험을 문화예술 분야 실무 직무와 연결해 안정적인 민간 일자리 진입을 지원하는 사업이다. 협력사업장 중심의 분산형 운영 방식을 통해 다양한 문화예술 현장에서 실무 경험을 쌓을 수 있도록 돕고 장기적으로는 지속 가능한 고",에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231526,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,취업/교육,LOW,FALSE,RSS,35,INFO_CARD,,NOT_DISABILITY_RELATED
,‘상급종합병원’의 이름을 '중증종합병원'으로 바꾸는 법을 제안해요,어떤 내용일까요? 1. 어려운 수술을 전문적으로 하는 ‘상급종합병원’에 사람이 너무 많이 몰리고 있어요.2. ‘상급종합병원’의 이름을 '중증종합병원'으로 바꾸는 법을 제안하기로 했어요.3. 치료가 급한 사람부터 ‘중증종합병원’에서 더 빨리 치료를 받을 수 있어야 해요. 이름 때문에 ‘상급종합병원’에 사람이 몰려요지금은 어려운 수술을 전문적으로 하는 병원을 '상급종합병원'이라고 불러요. 그런데 '상급'이라는 말을 들으면 '가장 좋은 병원'이나 '실력이 뛰어난 병원'이라고 잘못 생각할 수 있어요. 그래서 가벼운 병에 걸린 사람들도 상급,에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231530,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,의료/건강,LOW,FALSE,RSS,15,INFO_CARD,,NOT_DISABILITY_RELATED
,‘한신×정진 배리어프리 e스포츠 페스티벌’ 27일 개최,【에이블뉴스 백민 기자】 한신대학교 e스포츠융합대학원과 정진학교가 오는 27일 오후 1시부터 서울 정진학교 체육관(서울시 구로구 부일로9길 158)에서 ‘한신×정진 배리어프리 e스포츠 페스티벌’을 개최한다.이번 행사는 장애 학생들이 신체적·환경적 제약 없이 e스포츠에 자유롭게 참여할 수 있는 배리어프리 환경을 조성하고 누구나 공정하게 즐기며 경쟁할 수 있는 기반을 마련하기 위해 기획됐다.단순한 체험 행사를 넘어 장애 학생들이 e스포츠 선수로서 도전과 성취를 이룰 수 있는 무대를 마련함으로써 자신감 증진과 사회적 참여 확대에도 도움이,에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231539,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,35,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,‘한농협 채태기 중앙회장 해임 건’ 임시대의원총회 22일 개최,【에이블뉴스 백민 기자】 ‘한국농아인협회(이하 한농협) 중앙회장 채태기 해임의 건’을 단독 안건으로 하는 임시대의원총회가 22일 오후 2시 충남 천안시 나사렛대학교 강당에서 개최된다.이번 임시대의원총회는 유순기 전북협회장이 소집요구를 대표 발의했으며 현 집행부의 파행 운영으로 인해 협회가 초유의 위기에 직면하면서 추진됐다.최근 한농협은 주무부처인 보건복지부 특정감사에서 49건의 비위 행위가 적발됐으며 이로 인해 약 3억 원 규모의 국고보조금 지급이 중단되고 정부 사업인 ‘수어 말뭉치 구축 사업’마저 전면 중단되는 사태를 맞이했다.이,에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231524,2026-06-18,2026,2026-06-18T23:40:05+09:00,HEARING_IMPAIRED,일반뉴스,LOW,FALSE,RSS,35,VISUAL_GUIDE,HEARING_IMPAIRED,NOT_DISABILITY_RELATED
,"장문원, 24일 공공기관 대상 '장애예술인 창작물 우선구매제도 설명회' 개최","【에이블뉴스 이슬기 기자】한국장애인문화예술원(이하 장문원)이 오는 24일 오후 2시 우선구매기관을 대상으로 ‘장애예술인 창작물 우선구매 설명회’를 개최한다.장애예술인 창작물 우선구매제도는 ‘장애예술인 문화예술 활동 지원에 관한 법률’에 따라 국가기관, 지방자치단체 및 공공기관 등이 장애예술인의 미술품·공예품·공연 등을 우선적으로 구매하도록 권장하는 제도다. 이를 통해 장애예술인의 판로를 확대하고 지속 가능한 창작활동 기반을 조성하는 것을 목적으로 한다.이번 행사는 올해 6월부터 10월까지 총 3회에 걸쳐 진행되는 오프라인 기관 방문",에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231520,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,TRUE,RSS,39,NOT_RECOMMENDED,,GENERAL_NEWS_ONLY
,"2026 자폐인 긍지의 날, 자폐인은 무엇을 바라나?","【에이블뉴스 장지용 칼럼니스트】 오늘(6월 18일)은 ‘자폐인 긍지의 날’(Autistic Pride Day)입니다. 자폐인들은 자기들만의 기념일을 원했었고, 결국 이 응답은 ‘자폐인 긍지의 날’이라는 결론으로 답을 찾았습니다.4월 2일 세계 자폐인의 날은 솔직히 말해서 ‘바깥양반들의 날’이라 부를 수 있을 것입니다. 공식적으로 관심을 두더라도 결국 하는 것은 바깥 세력들이 더 많이 일하는 날에 가깝다는 것이 세계 자폐인들의 평가입니다. 그런 점에서 결국 나오게 된 것이 ‘자폐인 긍지의 날’이라 할 수 있습니다.해외에서는 또 각자들",에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231518,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,3,NOT_RECOMMENDED,,NOT_DISABILITY_RELATED
,"최보윤 의원, ‘상급종합병원→중증종합병원’ 명칭 변경 입법화",【에이블뉴스 이슬기 기자】국회 보건복지위원회 소속 최보윤 의원(국민의힘)이 현행 의료법상 ‘상급종합병원’의 명칭을 ‘중증종합병원’으로 변경하는 ‘의료법 일부개정법률안’을 대표발의했다고 17일 밝혔다.현행 의료법은 일정 요건을 갖춘 종합병원 중 중증질환에 대해 난이도가 높은 의료행위를 전문적으로 수행하는 종합병원을 보건복지부장관이 ‘상급종합병원’으로 지정할 수 있도록 규정하고 있다.그러나 명칭에 포함된 ‘상급’이라는 표현이 해당 병원의 핵심 기능인 ‘중증질환 치료’보다는 의료기관의 등급이나 규모의 우월성을 강조하는 의미로 오인될 소지,에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231506,2026-06-17,2026,2026-06-18T23:40:05+09:00,ALL,의료/건강,MEDIUM,FALSE,RSS,15,POLICY_REFERENCE,,NOT_DISABILITY_RELATED
,"관현맹인전통예술단, 특별공연 ‘세종의 날개’ 24일 개최",【에이블뉴스 백민 기자】 관현맹인전통예술단(단장 최동익)은 미추홀학산문화원이 주최한 2026 학산가족음악회 공모사업에 선정돼 오는 24일 인천 학산소극장에서 특별공연 ‘세종의 날개’를 선보인다.이번 공연은 세종대왕의 창제 정신과 포용의 가치를 현대적으로 재해석한 무대로 전통예술과 인공지능(AI) 기술을 접목해 장애와 비장애의 경계를 넘어 모두가 함께 공감할 수 있는 문화예술 콘텐츠로 마련됐다.특히 시각장애 예술인들이 AI 기술을 활용해 직접 창작한 음악을 무대에 올리며 전통예술의 새로운 가능성을 제시한다. 또한 한글 점자 창제 10,에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231508,2026-06-17,2026,2026-06-18T23:40:05+09:00,VISUAL_IMPAIRED,일반뉴스,LOW,FALSE,RSS,35,NOT_RECOMMENDED,VISUAL_IMPAIRED,NOT_DISABILITY_RELATED
,중랑구 최초 공립 특수학교 '동진학교' 준공식‥2027년 9월 개교,"【에이블뉴스 이슬기 기자】서울 중랑구가 동진학교 진입로 개설사업을 완료하고 지난 16일 준공식을 개최했다.구는 신내동 697-6 일대에 위치한 동진학교의 개교 일정에 맞춰 진입 교량을 신설하고 주변 도로를 정비했다.특히 관계 기관 및 지역 주민과의 협의를 거쳐 전용 우회전 차로를 추가로 확보하고 제방 도로를 확장해 통학버스 등 대형 차량의 원활한 진출입이 가능하도록 했다.이에 따라 학교 이용 차량과 일반 차량의 교통 흐름이 한층 원활해질 것으로 기대되며, 향후 학생들의 안전한 통학 환경 조성과 지역 주민의 교통 편의 향상에도 도움이",에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231498,2026-06-17,2026,2026-06-18T23:40:05+09:00,ALL,이동/교통,LOW,FALSE,RSS,15,INFO_CARD,,NOT_DISABILITY_RELATED
,"자폐인 자조모임 estas, ‘2026 자폐인 긍지의 날’ 기념식 20일 개최","【에이블뉴스 백민 기자】 신경다양성 지지모임 세바다(대표 조미정)과 자폐인(자조)모임 estas(중앙조정자 김세이‧금숲)은 오는 20일 오후 3시 서울 여의도 이룸센터에서 ‘2026 자폐인 긍지의 날’ 기념식을 ‘우리의 긍지를 향해: Trend, It’s Autistic’를 주제로 개최한다.올해 주제는 호주 자폐인 긍지의 날 주제인 ‘자폐가 트랜드야’(Autism is trending)를 반추해 만들어졌다. 자폐스러움이 트랜드가 됐기 때문에 관심을 가지는 것이 아니라 자폐스러움 그 자체로 일상에서 긍지와 존중을 누릴 수 있는 세상이",에이블뉴스 RSS,https://www.ablenews.co.kr/news/articleView.html?idxno=231494,2026-06-17,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,BACKGROUND_INFO,,NOT_DISABILITY_RELATED
