docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup,exclusionReason
,"2026 북중미 월드컵, 세계 첫 감각포용 대회로 새 역사 쓴다","2026 국제축구연맹(FIFA) 북중미 월드컵이 경기장 접근성의 새로운 기준을 제시하며 주목받고 있다.FIFA는 이번 대회를 세계 최초의 '감각포용(Sensory Inclusive) 인증 대회'로 운영하고 있다. 자폐 스펙트럼 장애와 ADHD(주의력결핍과잉행동장애), 외상후스트레스장애(PTSD) 등 감각 자극에 민감한 관람객들도 월드컵을 편안하게 즐길 수 있도록 다양한 지원 서비스를 제공하고 있다.미국과 캐나다, 멕시코 등 3개국 16개 개최도시에서 진행 중인 이번 대회는 총 104경기로 치러진다. FIFA는 모든 경기장에서 감각휴",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23466,2026-06-18,2026,2026-06-18T23:40:19+09:00,ALL,일반뉴스,LOW,FALSE,RSS,35,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,"책과 사람이 머무는 문화 공간, 도심 속 ""별마당 도서관""","[소셜포커스 현재웅 기자] = 공연과 예술이 머무는 공간을 따라, 문화시설의 접근성과 편의 정보를 글로 전합니다.책과 사람이 머무는 공간서울 강남구 코엑스몰 중심에 자리한 별마당 도서관은 휴식과 만남, 그리고 책을 매개로 소통하는 문화 감성 공간이다.총 2,800㎡ 규모의 복층 구조로 조성된 이 공간은 13m 높이의 대형 서가와 은은한 조명이 어우러져 하나의 거대한 서재 같은 분위기를 만든다. 층층이 이어진 공간은 개방감을 더하며, 방문객들은 공간 전체를 조망하며 여유롭게 머무를 수 있다.1층은 지하 선큰(Sunken) 공간을 내려",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23462,2026-06-18,2026,2026-06-18T23:40:19+09:00,ALL,일반뉴스,LOW,FALSE,RSS,3,NOT_RECOMMENDED,,NOT_DISABILITY_RELATED
,"영천장복, 지역 예술인 함께한 '찾아가는 음악회' 개최","[소셜포커스 현재웅 기자] = 영천시장애인종합복지관(영천장복)은 지난 17일 복지관 강당에서 지역 장애인을 위한 '찾아가는 음악회'를 개최했다고 밝혔다. 이번 행사는 지역 예술인이 참여한 공연을 통해 장애인의 문화예술 활동을 지원하고 문화복지 실천의 장을 마련하기 위해 추진됐다. 행사는 한국음악협회(영천지부)가 주최하고 영천장복이 주관했으며, 영천오페라단이 후원했다.이날 공연은 별소리중창단의 무대로 시작됐다. 이어 ▲실내악 연주 ▲소프라노·바리톤 독창 ▲성악 듀엣 ▲생황 연주 등 다양한 장르의 공연이 펼쳐졌다.특히 공연의 마지막을",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23454,2026-06-18,2026,2026-06-18T23:40:19+09:00,ALL,일반뉴스,LOW,TRUE,RSS,35,NOT_RECOMMENDED,,GENERAL_NEWS_ONLY
,"용인시처인장애인복지관, 개관 21주년 기념 ‘하나그린음악회’ 성황리 마무리","[소셜포커스 현재웅 기자] = 용인시처인장애인복지관(용인처인장복)은 개관 21주년을 맞아 '하나그린음악회'를 개최했다고 17일 밝혔다. 이번 음악회는 하나금융그룹 사회공헌 활동의 일환으로, 장애인과 지역주민이 함께 문화예술을 향유하고 소통할 수 있는 기회를 제공하기 위해 마련됐다.공연은 지휘자 함신익과 연주단 심포니송이 참여해 오케스트라 무대를 선보였다. 현악기와 관악기가 어우러진 클래식 연주와 다양한 협연 무대가 이어졌으며, 관객들은 공연을 감상하며 문화예술의 즐거움을 함께 나눴다. 이를 통해 장애인과 지역주민이 문화예술을 매개로",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23452,2026-06-17,2026,2026-06-18T23:40:19+09:00,ALL,일반뉴스,LOW,TRUE,RSS,31,NOT_RECOMMENDED,,GENERAL_NEWS_ONLY
,"부동산 등 현물출자와 법인전환, 주의할 세무 포인트","조봉현 세무사의 알기 쉬운 세금 이야기 [165]개인사업자가 어느 정도 성장하면 한 번쯤 고민하게 되는 문제가 있다. “이제 법인으로 바꿔야 하지 않을까?” 매출이 커지고, 직원이 늘고, 부동산이나 기계장치 같은 사업용 자산이 쌓이면 개인사업 형태는 점점 부담스러워진다. 소득세 세율 부담, 대표 개인의 무한책임, 가업승계 문제, 대외 신용도, 투자 유치 필요성 등이 법인전환을 검토하게 만드는 이유다.법인전환은 일반적으로 새로운 법인을 설립한 뒤 개인사업에 사용하던 자산을 해당 법인에 현물출자하는 방식으로 진행된다.현물출자(現物出資)",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23433,2026-06-17,2026,2026-06-18T23:40:19+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,BACKGROUND_INFO,,NOT_DISABILITY_RELATED
,"원효와 요석공주, 설총을 찾아 나선 경주 여행 (2)","월정교를 건너며 시작되었던 지난 여정이 원효와 요석공주의 사랑, 그리고 설총이라는 위대한 지성의 탄생을 더듬는 시간이었다면, 이번 길은 그들의 숨결이 실제로 스며 있는 곳으로 조금 더 깊숙이 들어가는 여정이었다.남천 바람이 부드럽게 불어오는 길 끝에서 월정교를 둘러보고 나서 휠체어 바퀴를 굴려 교동마을로 들어섰다. 향교가 자리잡은 교동마을은 경주의 한옥마을이다. 향교 옆으로 그 유명한 최부자댁을 비롯하여 고풍스러운 한옥이 즐비하다. 또한 월정교와 신라 궁궐이 있었던 월성, 계림 등이 인접해 있어 신라 문화와 조선 문화가 공존하는 독",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23385,2026-06-15,2026,2026-06-18T23:40:19+09:00,PHYSICAL_IMPAIRED,이동/교통,LOW,FALSE,RSS,35,INFO_CARD,,NOT_DISABILITY_RELATED
,"충북도, 임산부 친환경농산물 지원사업 신청 접수","[소셜포커스 현재웅 기자] = 충청북도(충북도)는 임산부의 건강한 식생활 지원을 위한 '임산부 친환경농산물 지원사업' 신청을 받는다고 11일 밝혔다. 이번 지원은 농림축산식품부(농식품부)의 '임산부 친환경농산물 꾸러미 사업'의 일환으로 마련됐다.'임산부 친환경농산물 꾸러미 사업'은 농림축산식품부가 임산부의 건강한 식생활을 지원하고 친환경농산물의 안정적인 소비 기반을 마련하기 위해 추진하는 사업이다. 2020년부터 2022년까지 시범사업으로 운영됐으며, 이후 국정과제로 선정돼 전국 지자체를 대상으로 확대 추진되고 있다. 사업 운영 일",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23424,2026-06-12,2026,2026-06-18T23:40:19+09:00,ALL,지원사업/모집,HIGH,FALSE,RSS,15,IMPORTANT_ALERT,,NOT_DISABILITY_RELATED
,"서울시, 예스24와 전자책 서비스 ‘크레마클럽 QR’ 시범 운영",[소셜포커스 현재웅 기자] = 서울시가 온라인 서점 기업 예스24와 손잡고 디지털과 독서를 결합한 새로운 독서 경험을 선보인다.서울특별시(서울시)는 예스24와 협력해 위치 기반 전자책 서비스 '크레마클럽 QR'을 서울야외도서관 거점에서 시범 운영한다고 밝혔다. 이번 서비스는 디지털 기술을 활용해 시민들의 독서 접근성을 높이고 다양한 독서 경험을 제공하기 위해 마련됐다.서울야외도서관은 시민 누구나 도심 속 공공공간에서 자유롭게 책과 문화를 즐길 수 있도록 조성한 서울시 대표 독서문화 정책이다. 기존 종이책 중심의 독서 환경을 디지털까,소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23425,2026-06-12,2026,2026-06-18T23:40:19+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,POLICY_REFERENCE,,NOT_DISABILITY_RELATED
,"전남도, 2026 프랑스 파리 국제식품박람회 참가기업 모집",[소셜포커스 현재웅 기자] = 전라남도(전남도)는 오는 17일까지 '2026 프랑스 파리 국제식품박람회(SIAL Paris)'에 참가할 지역 농수산 가공식품 기업을 모집한다고 11일 밝혔다. 이번 모집은 도내 우수 농수산 가공식품의 해외 판로 개척과 수출 확대를 지원하기 위해 마련됐다.'프랑스 파리 국제식품박람회'는 1964년 처음 개최된 세계 최대 규모의 식품 분야 B2B(기업 간 거래) 전시회다. 글로벌 식품·음료 시장의 최신 흐름을 살피고 세계 각국 바이어와 상담할 수 있어 유럽과 글로벌 시장 진출을 희망하는 기업의 주요 해외,소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23421,2026-06-11,2026,2026-06-18T23:40:19+09:00,ALL,지원사업/모집,HIGH,FALSE,RSS,15,IMPORTANT_ALERT,,NOT_DISABILITY_RELATED
,"행정안전부, 미성년 자녀 민원 온라인 대리 발급 서비스 도입","[소셜포커스 현재웅 기자] = 행정안전부(행안부)는 오는 12일부터 정부 통합 행정서비스 플랫폼 정부24를 통해 '미성년 자녀 민원 부모 온라인 대리 발급 서비스'를 시작한다고 11일 밝혔다. 이번 서비스는 2026년 행안부 국민체감과제의 일환으로 마련됐다.국민체감과제는 정부가 국민들이 일상생활에서 실제로 겪는 불편을 발굴해 개선하는 정책 과제다. 행안부는 지난 5월 생활안전 분야 4건, 국민편의 분야 4건 등 총 8건의 국민체감과제를 발표했다.이번 서비스는 국민편의 분야 과제 중 하나로, 미성년 자녀의 증명서를 발급받기 위해 부모",소셜포커스 RSS,https://www.socialfocus.co.kr/news/articleView.html?idxno=23417,2026-06-11,2026,2026-06-18T23:40:19+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,POLICY_REFERENCE,,NOT_DISABILITY_RELATED
