docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup,exclusionReason
,"부산시, ‘2026 상반기 사회적경제 공공구매 페어’ 개최…지역기업 판로확대지원","장애인신문·웰페어뉴스=김쌍주 기자 |부산시가 지역 사회적경제기업의 판로 확대와 공공기관 우선구매 활성화를 위해 공공구매 페어를 개최한다.부산시는 오는 19일 오전 10시부터 시청 대회의실과 1층 로비에서 ‘2026 상반기 부산 사회적경제 공공구매 페어’를 연다고 18일 밝혔다.이번 행사는 지역 사회적경제기업과 공공기관 간 실질적인 구매 계약을 지원하고 사회적경제기업 제품에 대한 공공부문의 우선구매 인식을 높이기 위해 마련됐다.사회적경제는 양극화 해소와 일자리 창출, 지역사회 문제 해결 등 공동의 이익과 사회적 가치 실현을 목적으로",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207676,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,"""국가유공자 헌신에 감사""…백양종합사회복지관, 호국보훈의 달 맞아 감사 나눔 행사","장애인신문·웰페어뉴스=김쌍주 기자 |백양종합사회복지관은 호국보훈의 달을 맞아 17일 삼락동 곰보식당에서 국가유공자를 대상으로 감사 나눔 행사를 개최하며 지역사회에 보훈의 가치를 되새기는 뜻깊은 시간을 마련했다.이번 행사는 국가를 위해 헌신한 국가유공자들의 숭고한 희생과 공헌에 감사의 마음을 전하고, 지역사회 내 보훈 문화를 확산하기 위해 마련됐다.행사에는 지역에 거주하는 국가유공자들이 참석해 따뜻한 식사를 함께하며 서로의 안부를 나누고 소통하는 시간을 가졌다.특히, 이날 행사는 지역기업인 ㈜동일도기타일의 후원으로 진행돼 민간의 사회",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207675,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,"부산 100인의 아빠단 10기, 자녀와 함께 ‘불고기 브리또’ 요리체험 개최…“함께 만들며 가족사랑도 키워요”","장애인신문·웰페어뉴스=김쌍주 기자 | 20일 부산 동구 쿡스요리학원서 69가족 참여요리 활동 통해 아빠 육아 참여 확대·부모-자녀 정서적 유대 강화 기대부산 100인의 아빠단, 자녀와 함께하는 특별한 요리교실 마련부산지역 아빠들의 육아참여를 확대하고 가족 간 소통을 증진하기 위한 특별한 체험 프로그램이 마련된다.부산 100인의 아빠단 10기는 오는 20일 부산 동구에 위치한 쿡스요리학원에서 '아빠와 함께하는 요리체험' 행사를 개최한다고 밝혔다.이번 행사에는 총 69가족, 138명이 참가해 아빠와 자녀가 한 팀이 되어 불고기 브리또를",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207674,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,"공항철도, 생명나눔 실천 공로로 대한적십자사 회장 표창 수상",장애인신문·웰페어뉴스=양원준 기자 | 대한적십자사 인천혈액원(원장 김영섭)은 6월 18일 세계 헌혈자의 날(6월 14일)을 기념해 생명나눔 운동에 적극 동참하고 헌혈문화 확산에 기여한 공로를 인정해 공항철도(주)(사장 박대수)에 대한적십자사 회장 표창을 수여했다. 이번 표창은 세계 헌혈자의 날을 맞아 국가 생명나눔 운동인 헌혈에 적극 참여하고 헌혈문화 확산 및 안정적인 혈액수급에 기여한 기관·단체에 수여되는 상이다. 공항철도는 매년 상·하반기 2회 정기적인 단체헌혈을 실시하며 생명나눔 문화 확산에 앞장서고 있다. 특히 검암 사옥뿐,웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207671,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,"SK하이닉스 직원, 1억 기부 ‘아너 소사이어티’ 가입","장애인신문·웰페어뉴스=양원준 기자 | 사랑의열매 사회복지공동모금회(회장 윤여준)는 SK하이닉스 직원 김종훈 씨가 1억 원을 기부하며 사랑의열매 고액기부자 모임인 ‘아너 소사이어티(Honor Society)’ 3,958호(경기 400호) 회원으로 가입했다고 18일 밝혔다. 이날 오후 3시, 경기 사랑의열매 사무처에서 진행된 가입식에는 김종훈 씨와 가족, 권인욱 경기 사랑의열매 회장 등이 참석했다. 김종훈 씨는 기부를 결심한 이유에 대해 “SK하이닉스에서 치열하게 일하며 세상의 미래를 만드는 일에 동참해 왔고, 최근 AI 반도체 산업의",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207670,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,"시흥시, 23일 자동차세·과태료 체납차량 일제 단속 실시","시흥시(시장 임병택)는 성실납세 문화를 정착시키고 체납액 징수율을 높이기 위해 오는 6월 23일을 ‘자동차세 및 자동차 관련 과태료 체납차량 일제 단속의 날’로 정하고 자동차 번호판 영치 활동을 실시한다.영치 대상은 자동차세를 체납한 차량과 자동차 관련 과태료 체납액이 30만 원 이상인 차량이다. 자동차 관련 과태료는 자동차 검사 지연, 책임보험 미가입, 주정차 위반 등에 따른 과태료를 말한다.시는 영치 대상 외 체납차량에 대해서도 번호판 영치 예고를 실시해 체납에 대한 경각심을 높이고 자진 납부를 독려할 계획이다. 또한, 생계형",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207668,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,BACKGROUND_INFO,,NOT_DISABILITY_RELATED
,화순군 의료·요양 통합돌봄 ‘방문 이·미용 서비스’ 본격 추진,"장애인신문·웰페어뉴스=양정기 기자 |화순군은 전남 최초 의료·요양 통합돌봄 전담 부서 신설과 전라남도 우수기관 표창 수상으로 성과를 인정받은 가운데, 자체 특화 사업인 ‘방문 이·미용 서비스’를 본격 추진하며 주민 체감형 돌봄서비스 강화에 나섰다고 지난 17일 밝혔다.이번 사업은 고령화와 장애 등으로 거동이 불편해 외출이 어려운 군민들의 위생 관리와 생활 편의를 지원하기 위해 마련됐다.전문 미용사가 직접 가정을 방문해 이·미용 서비스를 제공함으로써 대상자들이 익숙한 생활환경에서 보다 건강한 일상을 유지할 수 있도록 돕는다.▣ 거동",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207667,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,의료/건강,MEDIUM,FALSE,RSS,35,INFO_CARD,,NOT_DISABILITY_RELATED
,"광주광역시 남구, ‘키다리 아저씨’ 한자리에 모인다","장애인신문·웰페어뉴스=양정기 기자 |광주 남구가 지역사회 곳곳에서 나눔을 실천하며 어려운 이웃의 든든한 버팀목이 되어준 키다리 아저씨들을 한자리에 초청해 감사의 마음을 전한다.남구는 18일 “지역사회 후원자와 사회공헌 참여 기업 및 단체, 착한 가정 및 착한 가게 관계자 등 100여명을 초청해 오는 23일 구청 8층 대회의실에서 ‘키다리 아저씨 초청 행사’를 개최한다”고 밝혔다.키다리 아저씨가 한자리에 모이는 것은 처음 있는 일이다.이번 행사는 지역사회 나눔문화 확산과 취약계층 지원에 앞장선 후원자들의 헌신에 감사의 뜻을 전하고,",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207666,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,일반뉴스,LOW,FALSE,RSS,15,NEWS_REFERENCE,,NOT_DISABILITY_RELATED
,"광주 광산구, 지역자원 활용 골목상권 육성 본격화","장애인신문·웰페어뉴스=양정기 기자 |광주 광산구가 중소벤처기업부가 주관하는 ‘2026년 지역상권 육성사업’ 유망골목상권 부분 공모에 최종 선정되면서 국비 3억 9,000만 원을 확보했다고 18일 밝혔다.이번 공모는 중소벤처기업부가 지역자원을 활용한 특색있는 상권 육성과 지속 가능한 골목경제 생태계 조성을 위해 추진되는 신규 사업으로, 최대 5억 원까지 지원한다.광산구는 △임방울거리1구역 골목형상점가 △첨단지구 골목형상점가 2개 상권이 선정돼 국비 3억 9,000만 원을 확보했다.임방울거리1구역 골목형상점가는 ‘소리와 맛이 살아있는",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207665,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,지원사업/모집,HIGH,FALSE,RSS,15,BAND_NOTIFICATION,,NOT_DISABILITY_RELATED
,"광주광역시 서구, ‘큰아빠·큰엄마’ 따뜻한 동행 이어가",장애인신문·웰페어뉴스=양정기 기자 |광주광역시 서구는 12세 이하 취약계층 아동의 건강한 성장과 발달을 지원하는 드림스타트 사업의 일환으로 한부모·조손가정 아동에게 또 하나의 가족이 되어주는 ‘큰아빠·큰엄마’ 활동을 운영하고 있다.‘큰아빠·큰엄마’ 활동은 지역사회 어른들이 한부모·조손가정 아동에게 정서적 지지와 다양한 체험 기회를 제공하는 사업이다.특히 아버지의 역할이 필요한 아동들에게는 든든한 어른이 되어 함께 시간을 보내고 고민을 나누며 건강한 성장을 돕고 있다.이들의 따뜻한 인연은 사례관리가 종료된 이후에도 이어지고 있다.큰아,웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207664,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,의료/건강,MEDIUM,FALSE,RSS,15,INFO_CARD,,NOT_DISABILITY_RELATED
,"동구, 쪽방촌 주민에 바우처·기후대피소 쿠폰 지원","장애인신문·웰페어뉴스=양정기 기자 |광주 동구는 쪽방촌 거주민의 생활안정과 건강한 여름나기를 돕기 위해 ‘착한나눔바우처’와 ‘기후대피소 쿠폰 지원사업’을 올해도 이어서 추진한다고 18일 밝혔다.이번 사업은 경제적 어려움과 열악한 주거환경에 놓인 쪽방촌 거주민들이 생필품을 구입하고, 폭염 등 기후위기에 보다 효과적으로 대응할 수 있도록 지원하는 데 목적을 두고 있다.‘착한나눔바우처’는 쪽방촌 내 착한나눔 협력가게 12곳과 연계해 운영되며, 거주민 1인당 8매(8만 원 상당)의 종이쿠폰이 지급된다. 대상자는 협력가게에서 식료품, 생활용",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207663,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,재난/안전,URGENT,FALSE,RSS,55,URGENT_ALERT,,NOT_DISABILITY_RELATED
,"광주광역시 북구, 놀면서 생태 가치 배우는 ‘기후 생태 클라쓰’ 운영",장애인신문·웰페어뉴스=양정기 기자 |광주광역시 북구가 미래의 주인공인 아동들이 환경의 가치와 생태계 보존의 중요성을 몸소 느낄 수 있는 장을 마련한다.17일 북구는 체험형 친환경 교육인 ‘2026년 기후 생태 클라쓰’를 오는 22일부터 24일까지 광주호수생태원 일대에서 운영한다고 밝혔다.이번 교육은 어린이들에게 지역의 생태 자원을 활용한 프로그램을 제공해 자연과 환경의 중요성을 쉽고 재미있게 배울 수 있도록 마련됐다.교육은 미취학 아동 70여 명을 대상으로 총 3회에 걸쳐 진행된다.세부 과정은 광주호수생태원 지구센터와 평촌마을 소개,웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207662,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,취업/교육,MEDIUM,FALSE,RSS,15,INFO_CARD,,NOT_DISABILITY_RELATED
