docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup
,[2025] 장애인삶 패널조사 이용자 안내서(1차-6차),장애인삶 패널조사의 기초 정보를 제공하고 통계조사로 부터 데이터가 생산되는 전 과정을 통계이용자에게 제공하여 데이터에 대한 이해를 높임으로 올바른 분석이 수행될 수 있도록 가이드를 제공하고자 함 김현지 정책연구,한국장애인개발원 연구보고서,,2025-05-30,2025,2026-06-14T02:24:14+09:00,ALL,일반뉴스,LOW,TRUE,FILE_DATA,47,RESEARCH_REFERENCE,
,[2024] 중증장애인직업재활지원사업 수행기관 유형 개편(안) 연구,중증장애인직업재활지원사업 수행기관의 효과적 효율적인 지원체계 마련 대구대학교 산학협력단 직업재활,한국장애인개발원 연구보고서,,2024-12-31,2024,2026-06-14T02:24:14+09:00,ALL,지원사업/모집,HIGH,TRUE,FILE_DATA,90,BAND_NOTIFICATION,
,[2024] Post-인천전략 수립 및 이행 방안 연구,자카르타 선언 및 UNCRPD(유엔장애인권리협약)의 이행을 촉진하기 위한 국내외 협력 과제와 중장기 로드맵을 수립하여 장애포괄적 발전을 실현하며 한국의 UNCRPD 이행체계 및 Post-인천전략의 국가적 추진체계를 구축하기 위한 기초안을 제시 이명희 정책연구,한국장애인개발원 연구보고서,,2024-12-31,2024,2026-06-14T02:24:14+09:00,ALL,권리/차별,LOW,TRUE,FILE_DATA,55,RESEARCH_REFERENCE,
,[2024] (용역) 장애인 의료기관 이용편의 접근성 제고 방안 연구,장애인의 의료기관 이용편의 역할 및 기능 강화 방안과 장애유형별 의료기관 이용 접근성 제고 조윤화 용역연구,한국장애인개발원 연구보고서,,2024-12-31,2024,2026-06-14T02:24:14+09:00,ALL,의료/건강,MEDIUM,TRUE,FILE_DATA,72,RESEARCH_REFERENCE,
,[2024] 고령장애인 개인 가구 특성 및 욕구에 따른 장애인복지정책 개발 연구,고령장애인의 개인 가구 특성 및 욕구에 따른 장애인복지정책 개발 조윤화 정책연구,한국장애인개발원 연구보고서,,2024-12-17,2024,2026-06-14T02:24:14+09:00,ALL,일반뉴스,LOW,TRUE,FILE_DATA,43,RESEARCH_REFERENCE,
,[2024] 중증장애인의 병원 입원 시 간병지원 실태 및 지원방안 연구,중증장애인의 병원 입원 시 가족의 간병서비스의 부담을 줄이기 위한 제도적 개편방안 고안 조윤화 정책연구,한국장애인개발원 연구보고서,,2024-12-17,2024,2026-06-14T02:24:14+09:00,ALL,의료/건강,LOW,TRUE,FILE_DATA,72,RESEARCH_REFERENCE,
,[2024] 제4차 장애인 안전 대책 강화 사업 결과보고서,매뉴얼의 현장 적용을 통한 장애인 재난 안전 가이드를 고도화 조윤화 정책연구,한국장애인개발원 연구보고서,,2024-12-15,2024,2026-06-14T02:24:14+09:00,ALL,재난/안전,URGENT,TRUE,FILE_DATA,93,URGENT_ALERT,SAFETY_ACTION
,[2024] 여성장애인의 생애주기별 맞춤형 건강관리방안 연구,본 연구의 목적은 지역사회 내에 거주하고 있는 성인 여성장애인의 건강관리 현황을 진단하고 여성장애인의 실질적인 성 · 재생산 건강 확보를 위한 방안을 모색하는 것임 한기명 정책연구,한국장애인개발원 연구보고서,,2024-11-29,2024,2026-06-14T02:24:14+09:00,ALL,의료/건강,MEDIUM,TRUE,FILE_DATA,68,RESEARCH_REFERENCE,
,[2024] 2023년 장애인삶패널조사 공표 일정 사전 안내,장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활 소득수준 건강상태 복지욕구 사회참여 등의 탐색을 통해 향후 관련 정책의 수립 지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함 이혜경 정책연구,한국장애인개발원 연구보고서,,2024-11-27,2024,2026-06-14T02:24:14+09:00,ALL,의료/건강,MEDIUM,TRUE,FILE_DATA,72,RESEARCH_REFERENCE,
,[2024] 뇌성마비장애인 욕구조사,뇌성마비장애인의 욕구조사 실시하고 조사결과를 바탕으로 맞춤형 지원 방안을 제안하고자 함 김영수 정책연구,한국장애인개발원 연구보고서,,2024-10-31,2024,2026-06-14T02:24:14+09:00,ALL,일반뉴스,LOW,TRUE,FILE_DATA,47,RESEARCH_REFERENCE,
,[2024] 정신장애인 지역사회 자립을 위한 지원 방안 마련 연구: 동료지원쉼터중심으로,정신장애인동료지원쉼터의 운영방법 운영기준 인력기준 등을 제시하고 지역사회내에서 정신장애인이 추가적으로 필요한 서비스를 파악하여 정신장애인동료지원쉼터의 기능을 강화하고 지역사회 기관과 연계하는 것임 서원선 정책연구,한국장애인개발원 연구보고서,,2024-10-31,2024,2026-06-14T02:24:14+09:00,ALL,일반뉴스,LOW,TRUE,FILE_DATA,51,RESEARCH_REFERENCE,
,[2024] 지역사회 주거전환 장애인의 정신건강 지원방안 연구,본 연구의 목적은 시설에서 지역사회로 전환하여 지역사회에서 거주하는 장애인의 정신건강 관련 문제점을 파악하고 정신건강 지원 방안을 조사하여 장애인의 정신건강 유지를 위한 정책 및 제도를 제안하는 것임 서원선 정책연구,한국장애인개발원 연구보고서,,2024-10-31,2024,2026-06-14T02:24:14+09:00,ALL,의료/건강,MEDIUM,TRUE,FILE_DATA,72,RESEARCH_REFERENCE,
,[2024] 2024 장애통계연보,장애통계연보는 장애인권리협약(CRPD)의 권리를 기반으로 하고 생애주기별 복지욕구에 기반한 다양한 통계 및 지표를 수집 및 생산하여 장애인복지정책을 제안하는데 기초자료로서 역할을 목적으로 함 곽나연 정책연구,한국장애인개발원 연구보고서,,2024-09-30,2024,2026-06-14T02:24:14+09:00,ALL,권리/차별,LOW,TRUE,FILE_DATA,78,RESEARCH_REFERENCE,
,[2024] 장애인삶 패널조사 이용자 안내서(1차-5차),장애인삶 패널조사의 기초 정보를 제공하고 통계조사로 부터 데이터가 생산되는 전 과정을 통계이용자에게 제공하여 데이터에 대한 이해를 높임으로 올바른 분석이 수행될 수 있도록 가이드를 제공하고자 함 곽나연 정책연구,한국장애인개발원 연구보고서,,2024-05-31,2024,2026-06-14T02:24:14+09:00,ALL,일반뉴스,LOW,TRUE,FILE_DATA,47,RESEARCH_REFERENCE,
,[2023] 2023년 장애인편의시설 설치 현황조사,장애인 편의시설 설치 현황조사는 편의시설 설치 의무대상시설에 대해 편의시설 설치 현황을 파악하여 편의시설의 효율적 관리를 도모하고 향후 장애인 등의 이동 및 접근성 향상 관련 정책 개발 및 추진의 기초자료를 제공하는 것을 목적으로 함 안성준 편의증진,한국장애인개발원 연구보고서,,2024-04-12,2024,2026-06-14T02:24:14+09:00,ALL,이동/교통,LOW,TRUE,FILE_DATA,84,RESEARCH_REFERENCE,
,[2023] 장애인식개선교육 효과성 측정을 위한 지표개발 및 발전방안 연구,장애인식개선교육 효과성 측정을 위한 지표개발 및 발전방안 연구를 목적으로함 이준우 정책연구,한국장애인개발원 연구보고서,,2024-02-15,2024,2026-06-14T02:24:14+09:00,ALL,취업/교육,MEDIUM,TRUE,FILE_DATA,70,RESEARCH_REFERENCE,
,[2023] 장애인복지법에 따른 장애인식개선교육 평가지표 개발 연구,사회적 장애인식개선교육 활성화를 위한 평가지표 개발을 목적으로 함 김가원 정책연구,한국장애인개발원 연구보고서,,2024-01-19,2024,2026-06-14T02:24:14+09:00,ALL,취업/교육,MEDIUM,TRUE,FILE_DATA,70,RESEARCH_REFERENCE,
,[2024] IoT 기술활용 돌봄정책 발전방향 연구-장애인거주시설 IoT AI활용 디지털 돌봄사업을 중심으로,장애인·노인 등 집단거주시설은 코로나19 등 감염병 위험이 높으며 서비스 제공되지 않는 시간대에 돌봄 공백이 발생함에 따라 응급상황에 신속 대응할 수 있는 시스템의 마련 필요함. 이에 국내외 IoT기술 활용 돌봄 서비스 (공적/사적)유사서비스 분석하고 장애인 거주시설 IoT AI활용 디지털 돌봄사업에 참여하는 시설 종사자와 관련 전문가를 대상으로 FGI를 실시하여 IoT기술 활용 돌봄사업의 정책방향을 모색하고자 함. 이혜경 정책연구,한국장애인개발원 연구보고서,,2024-01-12,2024,2026-06-14T02:24:14+09:00,ALL,재난/안전,URGENT,TRUE,FILE_DATA,97,URGENT_ALERT,SAFETY_ACTION
,[2023] 중증장애인 공공·민간 연계 신규일자리 창출사업 개선 방안 및 신규 업종 직무개발,중증장애인 공공·민간 연계 신규일자리 창출사업 개선 방안 및 신규 업종 직무개발 주식회사 플랜엠 직업재활,한국장애인개발원 연구보고서,,2023-12-29,2023,2026-06-14T02:24:14+09:00,ALL,취업/교육,MEDIUM,TRUE,FILE_DATA,70,INFO_CARD,
,[2023] 장애인거주시설에서 지역사회 주거서비스 제공기관으로의 변환 과정에 대한 성과 및 한계점 연구,시설 전환 컨설팅사업’에 참여하여 지역사회 중심 기관으로 변환을 추구해온 3개 시설(해맑은마음터(서울) 평화의집(부산) 더숨99지원센터(전북 군산))을 대상으로 분석하고자 하며 특히 2차년도 시범사업 신규 지역과 수행기관으로 선정된 군산 더숨99지원센터의 사례를 심층적으로 분석하고자 함 송승연 정책연구,한국장애인개발원 연구보고서,,2023-12-29,2023,2026-06-14T02:24:14+09:00,ALL,일반뉴스,LOW,TRUE,FILE_DATA,51,RESEARCH_REFERENCE,
,[2023] 장애인직업재활시설 실태조사,직업재활시설 운영의 전반적 실태 파악하고 특히 종사자와 훈련장애인 및 훈련프로그램을 구체적으로 파악해 시설 운영에 필요한 지원기준 마련과 정책개발에 활용하고자함. 이혜경 정책연구,한국장애인개발원 연구보고서,,2023-12-29,2023,2026-06-14T02:24:14+09:00,ALL,의료/건강,MEDIUM,TRUE,FILE_DATA,76,RESEARCH_REFERENCE,
