docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup
,(긴급)평택시 장애인등을 위한 전동보조기기 이용안전 증진에 관한 조례,"장애인등 「장애인ㆍ노인 등을 위한 보조기기 지원 및 활용촉진에 관한 법률」 제3조제1호에 해당하는 사람 의 전동보조기기 「장애인ㆍ노인 등을 위한 보조기기 지원 및 활용촉진에 관한 법률 시행규칙」 제2조제1항에 해당하는 보조기기 중 전동휠체어와 전동스쿠터 이용 수요가 지속적으로 증가함에 따라 사고 발생 위험 또한 높아지고 있어, 전동보조기기 이용 중 발생할 수 있는 사고에 대비한 보험 가입을 지원하고 안전 증진 사업을 실시하여 관내 장애인등의 이동권을 보장하고 사회활동 참여 확대에 기여하고자 함. 경기도 평택시 복지국 장애인복지과 장애인등 「장애인ㆍ노인 등을 위한 보조기기 지원 및 활용촉진에 관한 법률」 제3조제1호에 해당하는 사람 의 전동보조기기 「장애인ㆍ노인 등을 위한 보조기기 지원 및 활용촉진에 관한 법률 시행규칙」 제2조제1항에 해당하는 보조기기 중 전동휠체어와 전동스쿠터 이용 수요가 지속적으로 증가함에 따라 사고 발생 위험 또한 높아지고 있어, 전동보조기기 이용 중 발생할 수 있는 사고에 대비한 보험 가입을 지원하고 안전 증진 사업을 실시하여 관내 장애인등의 이동권을 보장하고 사회활동 참여 확대에 기여하고자 함. 기타 인터넷, E-mail, 팩스 보험가입 변호사 선임비용 및 합의금 보험회사 직접 청구",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006193&wlfareInfoReldBztpCd=02,2025-11-15,2025,2026-06-14T02:19:25+09:00,PHYSICAL_IMPAIRED,보조기기,URGENT,TRUE,PUBLIC_API,100,URGENT_ALERT,ASSISTIVE_DEVICE
,장애인 보조기기 수리지원사업,장애인의 이동수단인 전동휠체어 등의 보조기구 수리비를 지원하여 장애인의 자립생활지원 및 사회참여 기회 확대 도모 대구광역시 보건복지국 장애인복지과 장애인의 이동수단인 전동휠체어 등의 보조기구 수리비를 지원하여 장애인의 자립생활지원 및 사회참여 기회 확대 도모 현금지급 방문 지체·뇌병변·심장·호흡기 장애인 중 전동ㆍ수동 휠체어 및 전동 스쿠터 소지 장애인 읍면동 신청,공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002751&wlfareInfoReldBztpCd=02,2025-08-27,2025,2026-06-14T02:19:27+09:00,PHYSICAL_IMPAIRED,지원사업/모집,HIGH,TRUE,PUBLIC_API,99,IMPORTANT_ALERT,ASSISTIVE_DEVICE
,장애인 콜택시 운영,"보행상 심한 장애인 등의 이동권 보장을 위하여 장애인 콜택시 운영 *교통약자의 이동편의 증진법 제16조 및 같은법 시행규칙 제6조 울산광역시 교통국 교통기획과 보행상 심한 장애인 등의 이동권 보장을 위하여 장애인 콜택시 운영 *교통약자의 이동편의 증진법 제16조 및 같은법 시행규칙 제6조 감면 전화, 인터넷, 모바일 *교통약자의 이동편의 증진법 제16조 및 같은법시행규칙 제6조 -장애의 정도가 심한 장애인 중 보행상 장애가 있는자 및 보호자 - 휠체어를 이용하는 65세 이상의 사람으로서 대중교통수단 등의 이용이 어려운 사람 1) 신청방법 : 장애인콜센터 신청 2) 서비스이용 - 콜센터에 이용자 등록 즉시 서비스 이용",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002567&wlfareInfoReldBztpCd=02,2025-08-19,2025,2026-06-14T02:19:28+09:00,PHYSICAL_IMPAIRED,이동/교통,HIGH,TRUE,PUBLIC_API,100,IMPORTANT_ALERT,VISUAL_IMPAIRED
,청각장애인 인공달팽이관 수술지원,저소득 청각장애인에게 인공달팽이관 이식 수술비 등을 지원하여 청각기능 회복 및 장애인 가정의 의료비 부담 경감 도모 제주특별자치도 서귀포시 복지위생국 장애인복지과 저소득 청각장애인에게 인공달팽이관 이식 수술비 등을 지원하여 청각기능 회복 및 장애인 가정의 의료비 부담 경감 도모 현금지급 방문 ㅇ 수술가능 여부 확인가능한 서류 필요 ㅇ 지원제외 및 불가대상 - 동 사업으로 기존에 지원을 받은 자는 제외 - 인공달팽이관 수술 및 재활이 가능한 전문병원이 아닌 곳에서 수술가능확인서를 제출한 자는 제외 - 장애인 의료비 지원사업의 본인부담 진료비와 이중 신청 및 지급 불가('05.1.15부터 인공와우 치료재료에 대하여 요양급여 적용) 재가 청각장애아동 보호자(청각장애인) 및 시설장은 시술가능 병원에 수술 적격 여부 사전검사 신청 → 검사병원에서는 수술가능여부 등을 기재한 수술가능확인서(서식)를 작성하여 재가 청각장애아동 보호자(청각장애인) 및 시설장에게 통보 → 재가 청각장애아동 보호자(청각장애인) 및 시설장은 수술가능대상자의 수술일자가 확정된 경우 수술가능확인서 등 관련서류를 작성하여 행정시로 신청,공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004385&wlfareInfoReldBztpCd=02,2025-08-13,2025,2026-06-14T02:19:30+09:00,HEARING_IMPAIRED,의료/건강,HIGH,TRUE,PUBLIC_API,99,IMPORTANT_ALERT,HEARING_IMPAIRED
,고성군 노인 보청기 구입비 지원,"노인성 질환 중 난청으로 인해 불편함을 겪고있는 노인들의 편의 증진 및 경제적 부담 완화를 위함 강원특별자치도 고성군 행정복지국 복지과 노인성 질환 중 난청으로 인해 불편함을 겪고있는 노인들의 편의 증진 및 경제적 부담 완화를 위함 현금지급 방문 ○ 고성군에 1년 이상 계속 거주 중인 70세 이상 노인 중 다음의 기준을 모두 충족하는 난청 판정자 1)「국민기초생활보장법」또는「기초연금법」에 따른 수급자 2)한 귀의 청력손실이 40dB 이상 80dB 미만이고, 다른 귀의 청력 손실이 40dB 이상 60dB 미만으로 이비인후과 전문의에게 난청 진단을 받은 어르신 읍면동 방문 신청",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006160&wlfareInfoReldBztpCd=02,2025-08-12,2025,2026-06-14T02:19:32+09:00,HEARING_IMPAIRED,보조기기,HIGH,TRUE,PUBLIC_API,100,IMPORTANT_ALERT,ASSISTIVE_DEVICE|HEARING_IMPAIRED
,순창군 노인 장애인등 이동 보조용 전동보조기기 지원 사업,"교통이 불편한 농촌 취약지역으로 거동이 불편한 어르신과 장애인에게 전동보조기기를 지원하여 이동편의를 증진하고 경제적 부담을 완화하고자 하는 사업입니다. 전북특별자치도 순창군 행정복지국 주민복지과 교통이 불편한 농촌 취약지역으로 거동이 불편한 어르신과 장애인에게 전동보조기기를 지원하여 이동편의를 증진하고 경제적 부담을 완화하고자 하는 사업입니다. 현금지급 방문 만 65세 이상 전문의 처방전을 발급받은 순창군 거주 노인, 등록장애인 - 전문의 처방전 : 거동불편으로 전동보조기기가 필요하다는 의사의 처방전(의료급여 의료용스쿠터 처방 기준) 11개 읍면 행정복지센터에 구비서류 제출",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005124&wlfareInfoReldBztpCd=02,2025-08-12,2025,2026-06-14T02:19:32+09:00,ALL,보조기기,HIGH,TRUE,PUBLIC_API,99,BAND_NOTIFICATION,ASSISTIVE_DEVICE
,장애인신문 구독 지원 사업,장애인 정보접근성 보장 서울특별시 강동구 복지가족국 장애인복지과 장애인 정보접근성 보장 기타 방문 동 주민센터별에서 신청받아 추천 장애인신문 주1회 배송,공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003810&wlfareInfoReldBztpCd=02,2025-08-12,2025,2026-06-14T02:19:33+09:00,ALL,지원사업/모집,HIGH,TRUE,PUBLIC_API,94,IMPORTANT_ALERT,ASSISTIVE_DEVICE
,장애인 이동기기 수리지원 사업,"장애인복지서비스 증진, 장애인 편의제공 등 서울특별시 강동구 복지가족국 장애인복지과 장애인복지서비스 증진, 장애인 편의제공 등 기타 방문 장애인 이동기기 수리비 지원 : 우리구 거주 등록장애인 중 이동보조기구(전동스쿠터,전동휠체어,수동휠체어) 사용자에게 수리비용 지원 -기초생활수급자 및 차상위계층: 30만원 지원 -일반: 10만원 지원 장애인 이동기기 수리비 지원 : 거주지 관할 동주민센터에 신청",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002133&wlfareInfoReldBztpCd=02,2025-08-12,2025,2026-06-14T02:19:36+09:00,PHYSICAL_IMPAIRED,이동/교통,HIGH,TRUE,PUBLIC_API,96,IMPORTANT_ALERT,RIGHTS_SUPPORT
,중증장애인 활동보조 市 추가지원 사업,장애인 생활안정에 기여 및 장애인 안전의 사각지대 해소 도모 충청남도 계룡시 사회복지과 장애인 생활안정에 기여 및 장애인 안전의 사각지대 해소 도모 현물지급 방문 만6세 이상 만 65세 미만 등록 장애인 관할 면동에 신청,공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002382&wlfareInfoReldBztpCd=02,2025-08-07,2025,2026-06-14T02:19:38+09:00,ALL,지원사업/모집,HIGH,TRUE,PUBLIC_API,94,IMPORTANT_ALERT,SAFETY_ACTION
,청각장애인 인공달팽이관 수술지원,"저소득 청각장애인에게 인공달팽이관 이식 수술비 등의 지원을 통해 정상적인 언어생활 및 장애인 가정의 의료비 부담 경감을 통해 장애인의 안정적인 생활도모 제주특별자치도 제주시 복지위생국 장애인복지과 저소득 청각장애인에게 인공달팽이관 이식 수술비 등의 지원을 통해 정상적인 언어생활 및 장애인 가정의 의료비 부담 경감을 통해 장애인의 안정적인 생활도모 현금지급 방문, 우편 ※ 지원제외 및 불가대상 - 동 사업으로 기존에 지원을 받은 자는 제외 - 인공달팽이관 시술 및 재활이 가능한 전문병원이 아닌 곳에서 수술가능확인서를 제출한 자는 제외 - 장애인 의료비 지원사업의 본인부담 진료비와 이중 신청 및 지급 불가(‘05.1.15부터 인공와우* 치료재료에 대하여 요양급여 적용) *양측 고도 감각신경성 난청이거나 전혀 들을 수 없는 사람에게 청각을 제공하기 위한 전자장치 ※ 지원대상자 선정 기준 - (1순위) 시설입소 장애인 - (2순위) 재가 장애인의 경우 소득기준 적용 ① 기초생활수급자 ② 소득액이 보다 낮은 가구의 장애인 - (3순위) 소득액도 동일할 경우 다음 사항 적용 ① 세대원 중 다른 장애인 유무 ② 생년월일이 빠른 장애인(수술효과 감안 수술연령 등 고려) ③ 세대원(세대주 포함)이 많은 경우 재가 청각장애인이 병원에서 수술전 검사 후 -> 읍면동(시군구)으로 수술비 지원 신청 -> 시군구에서는 수술가능확인서 등 검토 후 지원 결정 -> 수술",공공데이터포털 지자체복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001801&wlfareInfoReldBztpCd=02,2025-08-06,2025,2026-06-14T02:19:39+09:00,HEARING_IMPAIRED,의료/건강,HIGH,TRUE,PUBLIC_API,99,IMPORTANT_ALERT,HEARING_IMPAIRED
