docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup
,실종아동 등 보호 및 지원,"아동 및 장애인(지적·자폐성·정신)의 실종예방 교육 및 홍보, 장기실종 가족지원을 통해 가족해체를 예방합니다. 장애인 안전·위기",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000032&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:55+09:00,ALL,취업/교육,MEDIUM,TRUE,PUBLIC_API,74,INFO_CARD,SAFETY_ACTION
,의료급여 장애인보조기기 지원,"의료급여수급 장애인에게 장애인보조기기비용을 지원하여 저소득 장애인의 삶의 질 향상과 사회복지 증진에 기여합니다. 장애인,저소득 신체건강,생활지원",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000067&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:55+09:00,ALL,보조기기,MEDIUM,TRUE,PUBLIC_API,92,BAND_NOTIFICATION,ASSISTIVE_DEVICE
,독거노인·장애인 응급안전안심서비스,"안전의 사각지대에 있는 노인과 장애인이 응급상황을 인지하고 응급상황에 대처할 수 있도록 안전대책을 마련하여 지역사회 예방적 돌봄을 지원합니다. 장애인,저소득,한부모·조손 생활지원,안전·위기",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001093&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,ALL,재난/안전,URGENT,TRUE,PUBLIC_API,97,URGENT_ALERT,SAFETY_ACTION
,통신중계서비스 제공,"청각 또는 언어장애인이 전화로 의사소통을 할 수 있도록 중계사(문자, 수어)를 통해 통신중계서비스를 제공합니다. 장애인 생활지원",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003219&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,HEARING_IMPAIRED,일반뉴스,LOW,TRUE,PUBLIC_API,52,VISUAL_GUIDE,HEARING_IMPAIRED
,장애인보조기기 교부,"생활이 어려운 저소득 장애인에게 장애인보조기구를 교부함으로써 생활능력 향상 및 복지증진을 도모합니다. 장애인,저소득 신체건강,생활지원",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003211&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,ALL,보조기기,HIGH,TRUE,PUBLIC_API,95,BAND_NOTIFICATION,ASSISTIVE_DEVICE
,선천성 난청검사 및 보청기 지원,"선천성 난청을 조기진단하고, 조기 재활을 통해 난청으로 인해 발생할 수 있는 언어 지능 발달장애 사회부적응 등을 예방하고 건강한 성장을 도모합니다. 신체건강",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001130&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,HEARING_IMPAIRED,보조기기,MEDIUM,TRUE,PUBLIC_API,89,BAND_NOTIFICATION,ASSISTIVE_DEVICE|HEARING_IMPAIRED
,시각장애인음악재활센터지원,"시각장애인에게 체계적인 음악재활 프로그램을 제공하여 전문 음악인을 양성하고, 음악을 통해 자립생활을 지원하기 위한 시각장애인음악재활센터 사업비를 지원합니다. 장애인 문화·여가",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001143&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,VISUAL_IMPAIRED,의료/건강,MEDIUM,TRUE,PUBLIC_API,77,INFO_CARD,VISUAL_IMPAIRED
,장애인보조견전문훈련기관지원,"장애인보조견 보급을 통해 장애인의 안전하고 독립적인 보행 및 청각장애인의 소리 인지 등의 보조서비스를 제공합니다. 장애인 생활지원,안전·위기",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001153&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,HEARING_IMPAIRED,이동/교통,LOW,TRUE,PUBLIC_API,93,INFO_CARD,HEARING_IMPAIRED|VISUAL_IMPAIRED
,중도시각장애인재활훈련지원,"후천적 시각장애인을 위하여 맞춤형 재활 및 교육 프로그램을 실시하여 사회에 적응할 수 있도록 지원합니다. 장애인 생활지원,보호·돌봄",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001151&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,VISUAL_IMPAIRED,취업/교육,MEDIUM,TRUE,PUBLIC_API,83,INFO_CARD,VISUAL_IMPAIRED
,보조공학기기지원,"장애로 인한 신체적 기능 저하 또는 손실로 직업생활 유지에 어려운 장애인근로자에게 작업용 보조공학기기를 지원하여 고용안정을 도모합니다. 장애인 신체건강,생활지원",공공데이터포털 중앙부처복지서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003231&wlfareInfoReldBztpCd=01,2021-09-03,2021,2026-06-14T02:17:56+09:00,ALL,보조기기,MEDIUM,TRUE,PUBLIC_API,92,BAND_NOTIFICATION,ASSISTIVE_DEVICE
