docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup
,"장애인권리보장법 공포, 이제는 장애학생 권리 학교에서 실현할 때","【에이블뉴스 조주희 칼럼니스트】2026년 5월 26일 장애인권리보장법이 공포되었다. 2007년 장애인권리보장법 제정 논의가 시작된 이후 약 19년 만의 결실이다. 그동안 우리 사회는 장애인을 보호와 복지의 대상으로 바라보는 관점에서 벗어나 권리의 주체로 인정하기 위한 노력을 지속해 왔다. 장애인차별금지 및 권리구제 등에 관한 법률, 장애인 건강권 및 의료접근성 보장에 관한 법률, 장애인 등에 대한 특수교육법 등이 제정되면서 장애인의 권리 보장을 위한 제도적 기반은 꾸준히 확대되어 왔다. 이번 장애인권리보장법의 공포는 이러한 변화의",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231310,2026-06-12,2026,2026-06-14T02:35:07+09:00,ALL,권리/차별,MEDIUM,TRUE,NEWS_LIST,70,NOT_RECOMMENDED,RIGHTS_DISCRIMINATION_TARGET
,2026년 EBS 초·중·고 강좌 화면해설방송 이용 안내(6월 2주),"한국시각장애인연합회 부설 한국시각장애인미디어진흥원은 시각장애 학생의 학습권 보장을 위하여 EBS 초·중·고 강좌에 화면해설을 추가한 콘텐츠를 제작·보급하고 있습니다.2026년에는 총 1,255편의 화면해설방송을 제작할 예정이며, 화면해설자료는 방송미디어통신위원회 시청자미디어재단의 방송통신발전기금으로 제작됩니다.EBS 강의에 삽입된 그림, 도표, 사진 이미지 등에 별도의 화면해설을 추가하였으며 완성된 화면해설 제작물은 EBS 장애인 서비스 홈페이지(https://www.ebs.co.kr/free)를 통해 제공되고 있습니다.아래는 강좌",에이블뉴스,https://www.ablenews.co.kr/news/articleView.html?idxno=231419,2026-06-12,2026,2026-06-14T02:35:11+09:00,VISUAL_IMPAIRED,일반뉴스,LOW,TRUE,NEWS_LIST,52,VOICE_GUIDE,VISUAL_TARGET
,"“사각지대의 뇌병변장애인 권리, 이제 국가 책임으로” | 더인디고","발달기에 발생한 기질적 뇌 손상 장애인을 발달장애인 지원체계에 포함하는 법 개정이 추진되자, 장애계가 이를 “국가 책임을 제도적으로 확인한 전환점”으로 평가하며 환영의 뜻을 밝혔다. 한국뇌병변장애인인권협회(이하 한뇌협)는 24일 성명을 내고, 조국혁신당 김선민 의원을 대표",더인디고,https://theindigo.co.kr/archives/66561,2026-02-24,2026,2026-06-14T02:35:40+09:00,ALL,권리/차별,LOW,TRUE,NEWS_LIST,86,POLICY_REFERENCE,RIGHTS_DISCRIMINATION_TARGET
,뇌병변장애인 권리와 삶을 말하다... ‘2025 뇌병변 옥토페스타’ 개최 | 더인디고,한국뇌병변장애인인권협회(회장 오영철)는 10월 24일 서울 여의도 글래드호텔 블룸홀에서 ‘2025 뇌병변 옥토페스타를 개최한다고 밝혔다. 이번 행사는 보건복지부의 후원으로 제14회 세계뇌성마비인의 날과 국제보완대체의사소통(AAC) 인식의 달을 기념해 마련됐다.,더인디고,https://theindigo.co.kr/archives/64981,2025-10-24,2025,2026-06-14T02:35:41+09:00,ALL,보조기기,LOW,TRUE,NEWS_LIST,88,BAND_NOTIFICATION,RIGHTS_DISCRIMINATION_TARGET
,"김예지 의원, ‘시청각장애인 권리보장법’ 제정 위한 간담회 개최 | 더인디고",이날 발제에 나선 한국장애인개발원 이혜경 정책연구부장은 보건복지부 의뢰로 수행한 ‘시청각장애인 실태조사 및 의사소통 등 지원인력 양성방안 연구’를 요약해 발표했다. 이 부장은 “시청각장애인의 의사소통 교육 경험은 24.6%에 불과하다”며 “의사소통 전문 인력 양성과 교육이 시급하다”고,더인디고,https://theindigo.co.kr/archives/64660,2025-09-30,2025,2026-06-14T02:35:42+09:00,VISUAL_HEARING_IMPAIRED,취업/교육,MEDIUM,TRUE,NEWS_LIST,79,RESEARCH_REFERENCE,DEAFBLIND_TARGET|RIGHTS_DISCRIMINATION_TARGET|HEARING_TARGET
,"이재명 정부, “장애인 권리·삶의 질 보장”... 123대 국정과제 확정 | 더인디고","이재명 정부가 123대 국정과제를 확정·발표하면서, 관심이 쏠렸던 장애인정책 방향도 명확해졌다. 정부는 16일 국무회의에서 국정과제를 포함한 ‘국정과제 관리계획’을 확정하는 한편, 앞으로 5년간 새정부의 국정 운영의 핵심 로드맵인 123대 과제를 본격 추진키로 했다고 밝혔다.",더인디고,https://theindigo.co.kr/archives/64345,2025-09-17,2025,2026-06-14T02:35:43+09:00,ALL,일반뉴스,LOW,TRUE,NEWS_LIST,43,POLICY_REFERENCE,RIGHTS_DISCRIMINATION_TARGET
,청각장애인에 전화상담만 요구… 인권위 “장애인 차별” | 더인디고,"재단 측이 사후 조치로 제안한 대면상담 역시 A씨와 충분한 사전 협의 없이 결정됐고, 그 과정에서도 다시 전화 방식에 의존했다는 점을 문제로 지적했다. 인권위는 이러한 대응이 재단 내부의 ‘장애인·노약자 등 사회적 약자 고객 응대 매뉴얼’에도 부합하지 않는다고 판단했다. 매뉴얼에는 고객",더인디고,https://theindigo.co.kr/archives/68106,2026-05-19,2026,2026-06-14T02:35:43+09:00,HEARING_IMPAIRED,권리/차별,LOW,TRUE,NEWS_LIST,87,INFO_CARD,RIGHTS_DISCRIMINATION_TARGET|HEARING_TARGET
,"[무필의 모두까기] 장애인 차별구제 소송, ‘비용의 벽’ 넘으려면 | 더인디고","[더인디고 = 무필 집필위원] 장애인이 일상에서 마주하는 차별은 낯설지 않지만, 그 차별에 대해 법적 판단을 구하는 일은 결코 가볍지 않다. 특히 소송 결과에 따라 감당해야 할 비용까지 고려해야 한다면, 그 선택은 더 무거워질 수밖에 없다. 현행 「장애인차별금지법」은 차별 피해자가 법원에 구제를 청구할 수 있는 길을 열어두고 있다. 그러나 실제 소송 과정에서는 ‘패소자 부담 원칙’이라는 민사소송의",더인디고,https://theindigo.co.kr/archives/67885,2026-05-05,2026,2026-06-14T02:35:44+09:00,ALL,권리/차별,LOW,TRUE,NEWS_LIST,78,INFO_CARD,RIGHTS_DISCRIMINATION_TARGET
,"“휠체어 탔다고 투숙 거부?” 인권위, 장애인 차별 호텔에 시정 권고 | 더인디고","국가인권위원회(이하 인권위)는 휠체어 이용자의 예약을 취소하고 입실을 거부한 모 호텔 대표에게 지난해 9월 15일 시정 조치를 권고했다고 밝혔다. 이번 사건은 지난해 1월, 휠체어를 이용하는 A씨가 부당한 거절을 당했다며 진정을 제기하면서 시작됐다. A씨는 객실을 사전 예약한 뒤 밤",더인디고,https://theindigo.co.kr/archives/66440,2026-02-06,2026,2026-06-14T02:35:45+09:00,PHYSICAL_IMPAIRED,권리/차별,LOW,TRUE,NEWS_LIST,87,INFO_CARD,RIGHTS_DISCRIMINATION_TARGET
,통유리 바닥 케이블카에 목발 탑승 제한… 인권위 “장애인 차별” | 더인디고,케이블카 업체 직원 “강화유리 파손 우려” 인권위 “목발 바닥은 ‘고무’... 위험 없어” [더인디고] 목발 사용 장애인의 크리스털 캐빈(통유리 바닥) 케이블카 탑승을 제한하는 것은 장애인 차별이라는 국가인권위원회의 판단이 나왔다. 인권위는 A 케이블카 대표(피진정인)에게 목발을 사용하는 장애인이 통유리 바닥 케이블카를 이용 시 목발의 안전성 확인 후 탑승할 수 있도록 개선방안을 마련할 것을 권고했다고 22일 밝혔다. 또 해당,더인디고,https://theindigo.co.kr/archives/57691,2024-07-22,2024,2026-06-14T02:35:45+09:00,ALL,권리/차별,URGENT,TRUE,NEWS_LIST,93,URGENT_ALERT,RIGHTS_DISCRIMINATION_TARGET
