docId,title,content,source,url,publishedAt,year,collectedAt,accessibilityTarget,category,priority,isDisabilityRelated,sourceType,appRelevanceScore,appUseCase,targetKeywordGroup
,2026년 전국시각장애인지도자대회 성료,"장애인신문·웰페어뉴스=양원준 기자 |사단법인 한국시각장애인연합회(회장 김재룡, 이하 한시련)는 지난 6월 16일부터 17일까지 1박 2일간 충청남도 예산군 스플라스 리솜 리조트에서 ‘2026년 전국시각장애인지도자대회’를 성황리에 개최했다고 밝혔다.전국시각장애인지도자대회는 전국 시각장애인 지도자들의 리더십과 전문성, 역량을강화하고, 장애계 주요 현안에 대한 정보를 공유하며 공동 대응 방안을 모색하기 위해 마련됐다. 또한 지역 간 협력체계를 구축하고 시각장애인의 권익증진과 복지 향상을 위한 실천 방안을 논의하는 소통과 연대의 장으로 진",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207673,2026-06-18,2026,2026-06-18T23:40:05+09:00,VISUAL_IMPAIRED,권리/차별,LOW,TRUE,RSS,83,INFO_CARD,VISUAL_IMPAIRED
,"시흥시, 에너지 취약계층 위한 에너지 바우처 신청 접수","시흥시는 에너지 취약계층을 대상으로 냉난방비 요금 부담 완화를 위해 ‘2026년 에너지바우처’ 신청을 오는 12월 31일까지 받는다.에너지바우처는 에너지 취약계층이 전기, 도시가스, 지역난방, 등유, LPG, 연탄 등 냉난방에 필요한 에너지 비용을 지원받을 수 있는 제도다.지원 대상은 「국민기초생활보장법」에 따른 생계·의료·주거·교육급여 수급 세대 가운데 수급자 본인 또는 세대원에 ▲1961년 12월 31일 이전 출생 노인 ▲2019년 1월 1일 이후 출생한 미취학 영유아 ▲장애인 ▲임산부 ▲중증·희귀·중증난치질환자 ▲한부모가족 ▲",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207669,2026-06-18,2026,2026-06-18T23:40:05+09:00,ALL,지원사업/모집,HIGH,TRUE,RSS,55,IMPORTANT_ALERT,
,"음악으로 잇는 나눔...밀알복지재단, 제23회 밀알콘서트 개최","장애인신문·웰페어뉴스=양원준 기자 |밀알복지재단이 6월 23일(화) 오후 7시 30분 예술의전당 콘서트홀에서 제23회 밀알콘서트를 개최한다.올해로 23회를 맞은 밀알콘서트는 장애 유무와 관계없이 누구나 함께 즐길 수 있는 통합 문화공연이다. 음악을 통해 나눔의 가치를 전하고, 국내외 장애인의 자립을 지원하기 위해 마련됐다.휠체어석과 수어 통역 등 장애인 관객을 위한 배려도 더했다. 누구나 공연을 즐길 수 있도록 기획돼 공연 관람이 쉽지 않은 장애인에게는 문화 향유의 기회를, 비장애인에게는 장애를 자연스럽게 이해하고 공감할 수 있는",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207653,2026-06-18,2026,2026-06-18T23:40:06+09:00,PHYSICAL_IMPAIRED,일반뉴스,LOW,TRUE,RSS,40,NOT_RECOMMENDED,HEARING_IMPAIRED
,"시각장애인 디지털 포용 솔루션 개발 공로자, 넥스트지 권오설 대표 국무총리 표창 수상","장애인신문·웰페어뉴스=양원준 기자 |지난 6월 17일(수) 오후 3시 서울 상암 누리꿈스퀘어에서 열린 제39회 ‘정보문화의 달’ 기념식에서 시각장애인을 위한 디지털 포용 솔루션 개발과 확산에 기여해온 주식회사 넥스트지 권오설 대표가 정보문화 발전에 기여한 유공자로 선정돼 국무총리 표창을 수상했다.‘정보문화의 달’ 정부포상은 디지털 역량 강화와 정보격차 해소, 건전한 정보문화 확산에 기여한 개인과 단체를 대상으로 수여되는 상이다. 이번 표창은 시각장애인의 정보통신 접근성 향상, 생성형 AI 기반 정보 접근 지원, 무장애 보행 환경 조",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207651,2026-06-18,2026,2026-06-18T23:40:06+09:00,VISUAL_IMPAIRED,일반뉴스,LOW,TRUE,RSS,56,VOICE_GUIDE,VISUAL_IMPAIRED
,"장총련, 제19차 UN장애인권리협약 당사국회의 ‘권리원정대’뉴욕 연수 성료","장애인신문·웰페어뉴스=양원준 기자 |사)한국장애인단체총연합회(상임대표 이영석, 이하‘장총련’)와 국내 장애인단체들이 연대하여 구성한 ‘UN CRPD 당사국회의 권리원정대(이하‘연수단’)’는 지난 6월 7일부터 12일까지 미국 뉴욕 UN 본부에서 열린 제19차 UN 장애인권리협약(CRPD) 당사국회의(COSP19) 일정을 성공적으로 마치고 귀국했다.UN CRPD 채택 20주년을 맞아 라는 대주제로 개최된 제19차 당사국 회의는 ‘",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207646,2026-06-17,2026,2026-06-18T23:40:06+09:00,ALL,권리/차별,LOW,TRUE,RSS,78,POLICY_REFERENCE,
,"광주광역시 북구, 취약계층 건강한 여름나기 지원한다","장애인신문·웰페어뉴스=양정기 기자 |올여름에도 극심한 폭염이 장기간 지속될 것으로 예상되는 가운데 광주광역시 북구가 주민들의 건강한 여름나기 지원에 앞장선다.17일 북구에 따르면 다음 달까지 노인·장애인 등 무더위 취약 계층에게 냉방 용품과 식료품을 전하는 ‘2026년 시원든든 여름나기 지원사업’이 진행된다.이번 사업은 북구와 사회복지공동모금회의 협업을 바탕으로 추진되며 기부 캠페인과 물품 지원 두 개 분야로 구성됐다.1억 5천여만 원의 예산을 활용해 총 1,800여 세대를 지원할 계획이며 지원 규모는 동별 복지 대상자 수에 비례해",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207639,2026-06-17,2026,2026-06-18T23:40:06+09:00,ALL,재난/안전,HIGH,TRUE,RSS,55,BAND_NOTIFICATION,
,"장애예술, 전시를 넘어 일상으로… 장문원 '모두예술상점' 개최","장애예술인의 창작물이 전시장을 넘어 시민의 일상과 공공기관 공간으로 확장되는 특별한 만남의 장이 마련된다.한국장애인문화예술원(이하 장문원)은 오는 18일부터 27일까지 서울역 인근 모두미술공간에서 장애예술인 창작물 판로지원행사 '모두예술상점'을 개최한다고 밝혔다.'모두예술상점'은 장애예술인의 작품을 단순히 전시하는 데 그치지 않고, 실제 구매와 대여, 전시 협력으로 이어질 수 있도록 기획된 상점형 전시 행사다. 회화와 일러스트, 공예 등 다양한 분야의 창작물이 소개되며, 관람객들은 작품을 직접 감상하고 구매 가능한 정보를 확인할 수",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207634,2026-06-17,2026,2026-06-18T23:40:06+09:00,ALL,일반뉴스,LOW,TRUE,RSS,51,NEWS_REFERENCE,
,"천안시장애인종합복지관, 2026년 시군장애인복지사업 '원예정원' 4회기 실시",장애인신문·웰페어뉴스=양원준 기자 |천안시장애인종합복지관에서는 2026년 시군장애인복지사업(기능조정)‘원예정원’ 선정에 따라 2026년 3월부터 12월까지 총 10회기의 원예활동을 진행한다.이 사업은 천안시 지체·뇌병변 장애인 15명을 대상으로 다양한 식물과 꽃들을 활용하여 매 회기 다양한 원예활동을 통해 이용자(고객)들의스트레스 해소 및 정서적 안정감을 통해 삶의 질 향상을목적으로 진행된다.6월 ‘원예정원’프로그램에서는 공기정화식물 이오난사와 이끼를 활용하여 만들기를 진행하였다. 프로그램에 참여한성00님은“이끼가,웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207633,2026-06-17,2026,2026-06-18T23:40:06+09:00,PHYSICAL_IMPAIRED,일반뉴스,LOW,TRUE,RSS,56,NEWS_REFERENCE,
,"장애우권익문제연구소, 정신건강제도 개혁을 위한 국제컨퍼런스 개최","장애인신문·웰페어뉴스=양원준 기자 | 사단법인 장애우권익문제연구소(이사장 김성재, 이하 연구소)는 오는 6월 26일 (금) 오전 10시부터 「정신건강개혁을 위한 국제컨퍼런스」를 영등포구 스카우트빌딩 스카우트홀에서 개최한다. 본 행사는 국회의원 김예지, 국회의원 서미화, 한국정신장애인연합회, 법무법인 디엘지, 국가인권위원회, 한국장애인단체총연맹, 송파정신장애동료지원센터, 재단법인 동천, Access to Justice Knowledge Hub와 함께 한다. 이번 국제컨퍼런스는 최근 정신건강 분야의 제도 개혁을 추진한 해외사례를 공유하",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207622,2026-06-17,2026,2026-06-18T23:40:06+09:00,ALL,권리/차별,LOW,TRUE,RSS,82,RESEARCH_REFERENCE,
,"장애인기업종합지원센터, 모범 장애경제인 및 장애인기업 육성 유공자 포상 접수","장애인신문·웰페어뉴스=양원준 기자 |(재)장애인기업종합지원센터(이사장 박마루)가 장애인기업 발전에 기여한 공로자를 발굴·격려하기 위해 ‘2026년도 모범 장애경제인 및 장애인기업 육성 유공자 포상’ 신청을 오는 7월 31일(금)까지 접수한다.포상 내역은 ▲모범 장애경제인 ▲장애인기업 육성 유공자 부문 표창 총 22점(중소벤처기업부 장관 17점, 지식재산처장 5점)으로, 11월 전국장애경제인대회에서 수여될 예정이다.전국장애경제인대회는 장애경제인*의 자긍심을 고취하고 장애인기업의 성과를 확산하기 위해 매년 개최되는 장애인기업 관련 최대",웰페어뉴스 RSS,https://www.welfarenews.net/news/articleView.html?idxno=207621,2026-06-17,2026,2026-06-18T23:40:06+09:00,ALL,지원사업/모집,HIGH,TRUE,RSS,98,IMPORTANT_ALERT,
