연구보고서명,발행일,연구책임자,보고서종류,국제표준도서번호,연구목적
[2025] 장애인삶 패널조사 이용자 안내서(1차-6차),2025-05-30,김현지,정책연구,978-89-6921-786-8(93330),장애인삶 패널조사의 기초 정보를 제공하고  통계조사로 부터 데이터가 생산되는 전 과정을 통계이용자에게 제공하여 데이터에 대한 이해를 높임으로 올바른 분석이 수행될 수 있도록 가이드를 제공하고자 함
[2024] 장애인정책 연구 공모사업 결과보고,2024-12-31,임해영 임상욱 전보영 ,정책연구,데이터 미집계,데이터 미집계
[2024] (용역) 정신질환자 주간활동서비스 도입방안 연구,2024-12-31,조윤화,용역연구,데이터 미집계,정신질환자 주간활동서비스 도입방안을 마련하여 지역사회 거주 정신질환자의 회복과 자립역량 강화 지원
[2024] 중증장애인직업재활지원사업 수행기관 유형 개편(안) 연구,2024-12-31,대구대학교 산학협력단,직업재활,978-89-6921-781-3(93300),중증장애인직업재활지원사업 수행기관의 효과적  효율적인 지원체계 마련
[2024] Post-인천전략 수립 및 이행 방안 연구,2024-12-31,이명희,정책연구,978-89-6921-778-3,자카르타 선언 및 UNCRPD(유엔장애인권리협약)의 이행을 촉진하기 위한 국내외 협력 과제와 중장기 로드맵을 수립하여 장애포괄적 발전을 실현하며 한국의 UNCRPD 이행체계 및 Post-인천전략의 국가적 추진체계를 구축하기 위한 기초안을 제시
[2024] (용역) 장애인 의료기관 이용편의 접근성 제고 방안 연구,2024-12-31,조윤화 ,용역연구 ,데이터 미집계,장애인의 의료기관 이용편의 역할 및 기능 강화 방안과 장애유형별 의료기관 이용 접근성 제고 
[2024] 유니버설디자인(UD)제품인증을 위한 기초연구,2024-12-31,안성준,편의증진,978-89-6921-523-9(93540),제품 분야의 유니버설디자인 적용 필요성을 강조하고  이의 제도화 및 기존 제도와의 연계 방안 제안을 통해 편의증진 관련 산업 활성화 방향 제안
[2024] 고령장애인 개인 가구 특성 및 욕구에 따른 장애인복지정책 개발 연구,2024-12-17,조윤화,정책연구,978-89-6921-026-5,고령장애인의 개인 가구 특성 및 욕구에 따른 장애인복지정책 개발
[2024] 중증장애인의 병원 입원 시 간병지원 실태 및 지원방안 연구 ,2024-12-17,조윤화,정책연구,978-89-6921-020-3,중증장애인의 병원 입원 시 가족의 간병서비스의 부담을 줄이기 위한 제도적 개편방안 고안
[2024] 제4차 장애인 안전 대책 강화 사업 결과보고서,2024-12-15,조윤화,정책연구,978-89-6921-782-0(93330),매뉴얼의 현장 적용을 통한 장애인 재난 안전 가이드를 고도화
[2024] 여성장애인의 생애주기별 맞춤형 건강관리방안 연구,2024-11-29,한기명,정책연구,978-89-6921-520-8,본 연구의 목적은 지역사회 내에 거주하고 있는 성인 여성장애인의 건강관리 현황을 진단하고  여성장애인의 실질적인 성 · 재생산 건강 확보를 위한 방안을 모색하는 것임
[2024] 2023년 장애인삶패널조사 공표 일정 사전 안내,2024-11-27,이혜경,정책연구,데이터 미집계,장애인의 장애등록 이후 삶의 변화를 파악하고 삶과 관련된 일상생활  소득수준  건강상태  복지욕구  사회참여 등의 탐색을 통해 향후 관련 정책의 수립 지원 과정에서 활용할 수 있는 기초자료를 마련하고자 함
